table_id,first_seen_d,last_seen_d,valid_from,valid_to,active_days_struct,n_dealers_struct,n_members_struct,grain_key,six_layer_status,ucc_class,admit_to_risk_decision,audit_rn,run_id,snapshot_sync_time
36,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,134,125898,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,12,A168_HF9F_20260827_0900,2026-08-27 09:00:00
37,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,123,103123,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,13,A168_HF9F_20260827_0900,2026-08-27 09:00:00
5,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,88,165875,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,14,A168_HF9F_20260827_0900,2026-08-27 09:00:00
6,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,101,156715,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,15,A168_HF9F_20260827_0900,2026-08-27 09:00:00
7,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,103,150205,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,16,A168_HF9F_20260827_0900,2026-08-27 09:00:00
8,2026-03-21,2026-08-06,2026-03-21,2026-08-06,139,71,143344,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,17,A168_HF9F_20260827_0900,2026-08-27 09:00:00
900,2026-03-23,2026-03-26,2026-03-23,2026-03-26,4,1,5665,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,18,A168_HF9F_20260827_0900,2026-08-27 09:00:00
901,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,96096,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,19,A168_HF9F_20260827_0900,2026-08-27 09:00:00
902,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,91377,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,20,A168_HF9F_20260827_0900,2026-08-27 09:00:00
903,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,87983,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,21,A168_HF9F_20260827_0900,2026-08-27 09:00:00
905,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,83974,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,22,A168_HF9F_20260827_0900,2026-08-27 09:00:00
906,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,81675,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,23,A168_HF9F_20260827_0900,2026-08-27 09:00:00
907,2026-03-23,2026-08-06,2026-03-23,2026-08-06,136,1,77210,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,24,A168_HF9F_20260827_0900,2026-08-27 09:00:00
908,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,77107,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,25,A168_HF9F_20260827_0900,2026-08-27 09:00:00
909,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,76010,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,26,A168_HF9F_20260827_0900,2026-08-27 09:00:00
910,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,73867,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,27,A168_HF9F_20260827_0900,2026-08-27 09:00:00
911,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,72622,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,28,A168_HF9F_20260827_0900,2026-08-27 09:00:00
912,2026-03-23,2026-08-06,2026-03-23,2026-08-06,137,1,72466,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,29,A168_HF9F_20260827_0900,2026-08-27 09:00:00
913,2026-03-26,2026-08-06,2026-03-26,2026-08-06,134,1,71752,TABLE,NO_SIX_LAYER_BLOCK,DICTIONARY_NO_AXIS · 依UCC字典表应有轴=[]之律，本件不产出任何E/T/R/Q/TS/C/M/E2轴之量,FALSE,30,A168_HF9F_20260827_0900,2026-08-27 09:00:00
