grain_code,grain_expression,grain_columns,grain_semantics,source_scope,uniqueness_rule,parent_grain,child_grain,allowed_join_type
G62,UPPER(TRIM(bet_side)),UPPERTRIMbet_side,本件业务粒度：UPPERTRIMbet_side,ods_a168_bet02 窗内 canonical_base,顶层 GROUP BY UPPER(TRIM(bet_side)),,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G63,1 × 2,1 × 2,本件业务粒度：1 × 2,ods_a168_bet02 窗内 canonical_base,"顶层 GROUP BY 1, 2",G09,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G64,mem003,mem003,本件业务粒度：mem003,ods_a168_bet02 窗内 canonical_base,顶层 GROUP BY mem003,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G65,b.dealer_id,dealer_id,本件业务粒度：dealer_id,ods_a168_bet02 窗内 canonical_base,顶层 GROUP BY b.dealer_id,,"G60,G61",1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G66,b.lv3,lv3,本件业务粒度：lv3,ods_a168_bet02 窗内 canonical_base,顶层 GROUP BY b.lv3,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G67,"COALESCE(NULLIF(TRIM(creator), ''), '未署名')",COALESCENULLIFTRIMcreator,本件业务粒度：COALESCENULLIFTRIMcreator,ods_a168_bet02 窗内 canonical_base,"顶层 GROUP BY COALESCE(NULLIF(TRIM(creator), ''), '未署名",,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G68,table_id,table_id,本件业务粒度：table_id,ods_a168_bet02 窗内 canonical_base,顶层 GROUP BY table_id,,"G05,G56,G57",1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G69,c.TABLE_NAME,TABLE_NAME,本件业务粒度：TABLE_NAME,ods_a168_bet02 窗内 canonical_base,顶层 GROUP BY c.TABLE_NAME,,G72,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G70,member_id × change_date × action_type,member_id × change_date × action_type,本件业务粒度：member_id × change_date × action_type,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,G55,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G71,member_id × cate × prev_date,member_id × cate × prev_date,本件业务粒度：member_id × cate × prev_date,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,G55,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G72,TABLE_NAME × ORDINAL_POSITION × COLUMN_NAME,TABLE_NAME × ORDINAL_POSITION × COLUMN_NAME,本件业务粒度：TABLE_NAME × ORDINAL_POSITION × COLUMN_NAME,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,"G69,G88",,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G73,member_id × action_date × action_time,member_id × action_date × action_time,本件业务粒度：member_id × action_date × action_time,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,G55,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G74,ORDINAL_POSITION × COLUMN_NAME × DATA_TYPE,ORDINAL_POSITION × COLUMN_NAME × DATA_TYPE,本件业务粒度：ORDINAL_POSITION × COLUMN_NAME × DATA_TYPE,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,G88,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G75,member_id × field_name × business_field,member_id × field_name × business_field,本件业务粒度：member_id × field_name × business_field,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,G55,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G76,lvl × level_name × n_all,lvl × level_name × n_all,本件业务粒度：lvl × level_name × n_all,ods_a168_bet02 窗内 canonical_base,顶层 UNION：同 grain 可出多行,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G77,gi011,gi011,本件业务粒度：gi011,ods_a168_bet02 窗内 canonical_base,顶层 GROUP BY gi011,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G78,scope × n_rows × n_vb_null,scope × n_rows × n_vb_null,本件业务粒度：scope × n_rows × n_vb_null,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G79,scope × n_base_rows × n_active_member,scope × n_base_rows × n_active_member,本件业务粒度：scope × n_base_rows × n_active_member,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G80,test × n_rows × n_both_null,test × n_rows × n_both_null,本件业务粒度：test × n_rows × n_both_null,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G81,TRIM(bet09) × TRIM(commission),TRIMbet09 × TRIMcommission,本件业务粒度：TRIMbet09 × TRIMcommission,ods_a168_bet02 窗内 canonical_base,"顶层 GROUP BY TRIM(bet09), TRIM(commission)",G04,G27,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G82,g × comm,g × comm,本件业务粒度：g × comm,ods_a168_bet02 窗内 canonical_base,"顶层 GROUP BY g, comm",,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G83,grp × bet01 × member_id,grp × bet01 × member_id,本件业务粒度：grp × bet01 × member_id,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,"G55,G84",,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G84,t.grp,grp,本件业务粒度：grp,ods_a168_bet02 窗内 canonical_base,顶层 GROUP BY t.grp,,"G46,G83,G85",1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G85,grp × n_rows × n_members,grp × n_rows × n_members,本件业务粒度：grp × n_rows × n_members,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,G84,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G86,ip × n_member_log × country,ip × n_member_log × country,本件业务粒度：ip × n_member_log × country,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,G01,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G87,n_matched_round × mae_turnover × mae_rebate,n_matched_round × mae_turnover × mae_rebate,本件业务粒度：n_matched_round × mae_turnover × mae_rebate,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G88,COLUMN_NAME,COLUMN_NAME,本件业务粒度：COLUMN_NAME,ods_a168_bet02 窗内 canonical_base,顶层 GROUP BY COLUMN_NAME,,"G72,G74",1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G89,3,3,本件业务粒度：3,ods_a168_bet02 窗内 canonical_base,顶层 UNION：同 grain 可出多行,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G90,行数 × dt等于账务日 × dt等于下注日,dt × dt,本件业务粒度：dt × dt,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,,"G41,G56",1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G91,未处置_注单行数 × 已处置_注单行数 × 未处置_局键数,_ × _ × _,本件业务粒度：_ × _ × _,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G92,member_id × bet_month × zero_kind,member_id × bet_month × zero_kind,本件业务粒度：member_id × bet_month × zero_kind,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,G55,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G93,member_id × action × content,member_id × action × content,本件业务粒度：member_id × action × content,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,G55,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G94,table_name × h_src × has_uid,table_name × h_src × has_uid,本件业务粒度：table_name × h_src × has_uid,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G95,table_name × col_pos × column_name,table_name × col_pos × column_name,本件业务粒度：table_name × col_pos × column_name,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G96,"COALESCE(NULLIF(TRIM(lmc04), ''), '（空）')",COALESCENULLIFTRIMlmc04,本件业务粒度：COALESCENULLIFTRIMlmc04,ods_a168_bet02 窗内 canonical_base,"顶层 GROUP BY COALESCE(NULLIF(TRIM(lmc04), ''), '（空）')",,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
G97,dt_slice × n_user_active × n_pts_total,dt_slice × n_user_active × n_pts_total,本件业务粒度：dt_slice × n_user_active × n_pts_total,ods_a168_bet02 窗内 canonical_base,无顶层 GROUP BY,,,1:1 (xagg) / N:1 需降 xup / CROSS 仅限 xwin
