capability_id,name_zh,entity_type,dimension_class,domain_id,capability_facet,data_availability_status,window_scope,evidence_ladder,leakage_status,null_model_status,multiplicity_control,incremental_info_status,economic_path_status,admit_to_capability_scoring,note
M15,行为节奏稳定性,MEMBER,EXTENDED,D04,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,Z09：下注距开局 P50=11s P99=25s
M16,证据充分度,MEMBER,EXTENDED,D08,F08,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
H01,在桌洗码量,DEALER,CORE,D06,F02,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
H02,客群广度,DEALER,CORE,D04,F02,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
H03,真实当值时长,DEALER,CORE,D09,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,★改名：原「当值时长」逐位等于 n_rounds_xagg，实为局数；真时长取 S02b
H04,节奏稳定度,DEALER,CORE,D09,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,S02b：局速 79.6 vs 131.0 局/时
H05,对打局占比,DEALER,CORE,D08,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,round_key 同局键已证
H06,异常对关联,DEALER,CORE,D08,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,Beta-Binomial EB 收缩
H07,風險單密度,DEALER,CORE,D08,F06,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
H08,特定玩家复现率,DEALER,CORE,D11,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,零模型须自注单侧反推排班
H09,玩家—荷官收益偏离度,DEALER,EXTENDED,D08,F06,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,"R03 已到 517,528 对；window_scope=FULL_WINDOW"
H10,异常关系 Lift,DEALER,EXTENDED,D08,F06,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,同上；z_score_w vs _unw 差 4.08σ，须裁 weighting_policy
H11,跨日持续性,DEALER,EXTENDED,D09,F03,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,"★须 R03b（实测 18,139,550 行）；B-02"
H12,客群 HHI,DEALER,EXTENDED,D11,F04,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
H13,证据充分度,DEALER,EXTENDED,D08,F08,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,R03.eligibility_status
A01,线下规模,AGENT,CORE,D01,F02,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,"S03 4,191 · lv1~5 = 166/226/460/872/2467"
A02,真实流水,AGENT,CORE,D06,F02,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
A03,下线留存,AGENT,CORE,D05,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
A04,新增会员质量,AGENT,CORE,D01,F07,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
A05,对打渗透率,AGENT,CORE,D08,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
A06,单链密度,AGENT,CORE,D11,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
A07,退水消耗比,AGENT,CORE,D07,F01,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,bet23~27 为五级保留率≈96%，补数 4~5% 为成本；F-47 已结案
A08,Theo 贡献,AGENT,EXTENDED,D07,F01,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,随 M11
A09,Residual/NGR 贡献,AGENT,EXTENDED,D07,F01,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
A10,NMPT,AGENT,EXTENDED,D07,F01,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,REFUTED_AS_PRIMARY
A11,链路扩张率,AGENT,EXTENDED,D01,F03,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
A12,会员质量稳定度,AGENT,EXTENDED,D10,F07,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
A13,风险证据充分度,AGENT,EXTENDED,D08,F08,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
C01,标注产量,RISK_OFFICER,CORE,D09,F07,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,S04 仅 6 名 17 条，窗内零登记
C02,覆盖IP广度,RISK_OFFICER,CORE,D11,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
C03,判定详尽度,RISK_OFFICER,CORE,D10,F07,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
C04,登记跨度,RISK_OFFICER,CORE,D09,F07,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
C05,理由空白率,RISK_OFFICER,CORE,D10,F07,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,真口径＝理由空白数÷标注产量
C06,标注停滞度,RISK_OFFICER,CORE,D09,F07,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
C07,命中率,RISK_OFFICER,CORE,D10,F07,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,须处置日志＋申诉表
C08,复核时效,RISK_OFFICER,CORE,D09,F07,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,同上
C09,复核一致性,RISK_OFFICER,CORE,D10,F07,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,同上
C10,误标率,RISK_OFFICER,CORE,D10,F07,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,申诉推翻率为金标准，现以代理量替代属估计非事实
C11,案件复杂度,RISK_OFFICER,EXTENDED,D10,F07,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
C12,跨实体覆盖率,RISK_OFFICER,EXTENDED,D11,F05,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,"operator_id → employee 1,937 行"
C13,重复标记率,RISK_OFFICER,EXTENDED,D10,F07,MEASURED,ROLLING_AS_OF,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,P0C03 标记次数分布
C14,处置后复核完成率,RISK_OFFICER,EXTENDED,D09,F07,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
C15,证据闭环率,RISK_OFFICER,EXTENDED,D10,F08,AWAITING_SOURCE,NOT_APPLICABLE,E1,NOT_TESTED,NONE,NONE,NOT_TESTED,NOT_ESTABLISHED,False,
