file,line,raw,normalized,context
G23_三方逐栏对照矩阵_v1.md,44,32,32,| 9 | `action_type` | L58 | VARCHAR(32) | ✅ | ✅ | 11 项，见 §四（L96–108） | 动作类别，见下
G23_三方逐栏对照矩阵_v1.md,44,11,11,ion_type` | L58 | VARCHAR(32) | ✅ | ✅ | 11 项，见 §四（L96–108） | 动作类别，见下方值域约定 | `treatm
G23_三方逐栏对照矩阵_v1.md,44,108,108,8 | VARCHAR(32) | ✅ | ✅ | 11 项，见 §四（L96–108） | 动作类别，见下方值域约定 | `treatment_type` | E1
G23_三方逐栏对照矩阵_v1.md,45,10,10,| 10 | `action_param` | L59 | VARCHAR(256) |
G23_三方逐栏对照矩阵_v1.md,45,256,256,| 10 | `action_param` | L59 | VARCHAR(256) |  |  | — | 动作参数（如限红档位、退水下调 δ*、封盘提前秒数）
G23_三方逐栏对照矩阵_v1.md,46,11,11,| 11 | `action_layer` | L60 | VARCHAR(16) | ✅
G23_三方逐栏对照矩阵_v1.md,46,16,16,| 11 | `action_layer` | L60 | VARCHAR(16) | ✅ | ✅ | PRODUCT / SETTLE / ACCOUNT |
G23_三方逐栏对照矩阵_v1.md,47,12,12,| 12 | `is_reversible` | L61 | TINYINT | ✅ |
G23_三方逐栏对照矩阵_v1.md,47,1,1,is_reversible` | L61 | TINYINT | ✅ |  | 1 / 0 | 可否回滚：1 可 / 0 不可。★ 不可回滚者须双人复核 | — |
G23_三方逐栏对照矩阵_v1.md,47,0,0,eversible` | L61 | TINYINT | ✅ |  | 1 / 0 | 可否回滚：1 可 / 0 不可。★ 不可回滚者须双人复核 | — | E1
G23_三方逐栏对照矩阵_v1.md,47,1,1,` | L61 | TINYINT | ✅ |  | 1 / 0 | 可否回滚：1 可 / 0 不可。★ 不可回滚者须双人复核 | — | E1 | ✅ |
G23_三方逐栏对照矩阵_v1.md,47,0,0,1 | TINYINT | ✅ |  | 1 / 0 | 可否回滚：1 可 / 0 不可。★ 不可回滚者须双人复核 | — | E1 | ✅ |
G23_三方逐栏对照矩阵_v1.md,48,13,13,| 13 | `trigger_source` | L64 | VARCHAR(32) |
G23_三方逐栏对照矩阵_v1.md,48,32,32,| 13 | `trigger_source` | L64 | VARCHAR(32) | ✅ |  | GATE_T2 / GATE_R01 / GATE_R02
G23_三方逐栏对照矩阵_v1.md,49,14,14,| 14 | `trigger_gate` | L65 | VARCHAR(32) |
G23_三方逐栏对照矩阵_v1.md,49,32,32,| 14 | `trigger_gate` | L65 | VARCHAR(32) |  |  | PROFIT / BETTING / ANOMALY / N
G23_三方逐栏对照矩阵_v1.md,50,15,15,"| 15 | `trigger_score` | L66 | DECIMAL(18,6)"
G23_三方逐栏对照矩阵_v1.md,50,18,18,"| 15 | `trigger_score` | L66 | DECIMAL(18,6) |  |  | — | 触发时之维度取值或综合分 | `risk_sco"
G23_三方逐栏对照矩阵_v1.md,50,6,6,"15 | `trigger_score` | L66 | DECIMAL(18,6) |  |  | — | 触发时之维度取值或综合分 | `risk_score"
G23_三方逐栏对照矩阵_v1.md,51,16,16,"| 16 | `trigger_thr` | L67 | DECIMAL(18,6) |"
G23_三方逐栏对照矩阵_v1.md,51,18,18,"| 16 | `trigger_thr` | L67 | DECIMAL(18,6) |  |  | — | 触发时之阈值（★ 一律记当期现算值，不记写死数）"
G23_三方逐栏对照矩阵_v1.md,51,6,6,"| 16 | `trigger_thr` | L67 | DECIMAL(18,6) |  |  | — | 触发时之阈值（★ 一律记当期现算值，不记写死数） |"
G23_三方逐栏对照矩阵_v1.md,52,17,17,| 17 | `reason_text` | L68 | VARCHAR(1024) |
G23_三方逐栏对照矩阵_v1.md,52,1024,1024,| 17 | `reason_text` | L68 | VARCHAR(1024) | ✅ | ✅ | — | 判定理由原文——★ 不得留空，留空即该笔作废 |
G23_三方逐栏对照矩阵_v1.md,53,18,18,| 18 | `arm` | L71 | VARCHAR(16) | ✅ | ✅ | TR
G23_三方逐栏对照矩阵_v1.md,53,16,16,| 18 | `arm` | L71 | VARCHAR(16) | ✅ | ✅ | TREATMENT / CONTROL / SHADOW
G23_三方逐栏对照矩阵_v1.md,54,19,19,| 19 | `assign_method` | L72 | VARCHAR(32) |
G23_三方逐栏对照矩阵_v1.md,54,32,32,| 19 | `assign_method` | L72 | VARCHAR(32) | ✅ | ✅ | RANDOM / PSM / RULE / NONE |
G23_三方逐栏对照矩阵_v1.md,55,20,20,| 20 | `assign_seed` | L73 | VARCHAR(64) |  |
G23_三方逐栏对照矩阵_v1.md,55,64,64,| 20 | `assign_seed` | L73 | VARCHAR(64) |  |  | — | 随机种子或匹配批次号，供复现 | — | E1 |
G23_三方逐栏对照矩阵_v1.md,56,21,21,| 21 | `cohort_id` | L74 | VARCHAR(64) |  |
G23_三方逐栏对照矩阵_v1.md,56,64,64,| 21 | `cohort_id` | L74 | VARCHAR(64) |  |  | — | 实验批次号，同一次试运行共用 | `experime
G23_三方逐栏对照矩阵_v1.md,57,22,22,| 22 | `review_required` | L77 | TINYINT | ✅
G23_三方逐栏对照矩阵_v1.md,57,1,1,view_required` | L77 | TINYINT | ✅ |  | 1 / 0 | 是否须人工复核：1 是 / 0 否。★ 涉个体处置一律为 1 | —
G23_三方逐栏对照矩阵_v1.md,57,0,0,_required` | L77 | TINYINT | ✅ |  | 1 / 0 | 是否须人工复核：1 是 / 0 否。★ 涉个体处置一律为 1 | — | E
G23_三方逐栏对照矩阵_v1.md,57,1,1,L77 | TINYINT | ✅ |  | 1 / 0 | 是否须人工复核：1 是 / 0 否。★ 涉个体处置一律为 1 | — | E1 | ✅ |
G23_三方逐栏对照矩阵_v1.md,57,0,0,TINYINT | ✅ |  | 1 / 0 | 是否须人工复核：1 是 / 0 否。★ 涉个体处置一律为 1 | — | E1 | ✅ |
G23_三方逐栏对照矩阵_v1.md,57,1,1,| 1 / 0 | 是否须人工复核：1 是 / 0 否。★ 涉个体处置一律为 1 | — | E1 | ✅ |
G23_三方逐栏对照矩阵_v1.md,58,23,23,| 23 | `reviewed_by` | L78 | VARCHAR(64) |  |
G23_三方逐栏对照矩阵_v1.md,58,64,64,| 23 | `reviewed_by` | L78 | VARCHAR(64) |  |  | — | 复核人工号；高价值客群须二人，第二人记于 revie
G23_三方逐栏对照矩阵_v1.md,59,24,24,| 24 | `reviewed_by2` | L79 | VARCHAR(64) |
G23_三方逐栏对照矩阵_v1.md,59,64,64,| 24 | `reviewed_by2` | L79 | VARCHAR(64) |  |  | — | 第二复核人工号 | — | E1 | ✅ |
G23_三方逐栏对照矩阵_v1.md,60,25,25,| 25 | `review_result` | L80 | VARCHAR(16) |
G23_三方逐栏对照矩阵_v1.md,60,16,16,| 25 | `review_result` | L80 | VARCHAR(16) |  |  | APPROVE / REJECT / MODIFY | 复核
G23_三方逐栏对照矩阵_v1.md,61,26,26,"| 26 | `cost_review` | L83 | DECIMAL(18,4) |"
G23_三方逐栏对照矩阵_v1.md,61,18,18,"| 26 | `cost_review` | L83 | DECIMAL(18,4) |  |  | — | 复核成本：复核工时 × 工时单价 | `trea"
G23_三方逐栏对照矩阵_v1.md,61,4,4,"| 26 | `cost_review` | L83 | DECIMAL(18,4) |  |  | — | 复核成本：复核工时 × 工时单价 | `treatm"
G23_三方逐栏对照矩阵_v1.md,62,27,27,"| 27 | `cost_treatment` | L84 | DECIMAL(18,4)"
G23_三方逐栏对照矩阵_v1.md,62,18,18,"| 27 | `cost_treatment` | L84 | DECIMAL(18,4) |  |  | — | 处置成本：执行该动作之直接开销 | `treat"
G23_三方逐栏对照矩阵_v1.md,62,4,4,"7 | `cost_treatment` | L84 | DECIMAL(18,4) |  |  | — | 处置成本：执行该动作之直接开销 | `treatme"
G23_三方逐栏对照矩阵_v1.md,63,28,28,"| 28 | `cost_tech` | L85 | DECIMAL(18,4) |  |"
G23_三方逐栏对照矩阵_v1.md,63,18,18,"| 28 | `cost_tech` | L85 | DECIMAL(18,4) |  |  | — | 技术成本：算力、系统改动之摊销 | `treat"
G23_三方逐栏对照矩阵_v1.md,63,4,4,"| 28 | `cost_tech` | L85 | DECIMAL(18,4) |  |  | — | 技术成本：算力、系统改动之摊销 | `treatme"
G23_三方逐栏对照矩阵_v1.md,64,29,29,"| 29 | `cost_operation` | L86 | DECIMAL(18,4)"
G23_三方逐栏对照矩阵_v1.md,64,18,18,"| 29 | `cost_operation` | L86 | DECIMAL(18,4) |  |  | — | 运营成本：沟通、安抚、客服之开销 | `trea"
G23_三方逐栏对照矩阵_v1.md,64,4,4,"9 | `cost_operation` | L86 | DECIMAL(18,4) |  |  | — | 运营成本：沟通、安抚、客服之开销 | `treatm"
G23_三方逐栏对照矩阵_v1.md,65,30,30,| 30 | `changed_reason` | L89 | VARCHAR(512)
G23_三方逐栏对照矩阵_v1.md,65,512,512,| 30 | `changed_reason` | L89 | VARCHAR(512) |  |  | — | ★ 若本笔为对既有处置之变更，须记变更动机——只记改
G23_三方逐栏对照矩阵_v1.md,66,31,31,| 31 | `created_at` | L90 | DATETIME | ✅ | ✅
G23_三方逐栏对照矩阵_v1.md,68,23,23,## 三 · 结果账 `a168_outcome_ledger` · 23 栏
G23_三方逐栏对照矩阵_v1.md,72,1,1,| 1 | `ol_id` | L121 | VARCHAR(64) | ✅ | — |
G23_三方逐栏对照矩阵_v1.md,72,64,64,| 1 | `ol_id` | L121 | VARCHAR(64) | ✅ | — | 结果流水号 | E1 | ✅ |
G23_三方逐栏对照矩阵_v1.md,73,2,2,| 2 | `tl_id` | L122 | VARCHAR(64) | ✅ | — |
G23_三方逐栏对照矩阵_v1.md,73,64,64,| 2 | `tl_id` | L122 | VARCHAR(64) | ✅ | — | 对应之处置流水号（外键指向处置账） | E1 | ✅ |
G23_三方逐栏对照矩阵_v1.md,74,3,3,| 3 | `entity_type` | L123 | VARCHAR(16) | ✅
G23_三方逐栏对照矩阵_v1.md,74,16,16,| 3 | `entity_type` | L123 | VARCHAR(16) | ✅ | MEMBER / DEALER / AGENT / TABLE
G23_三方逐栏对照矩阵_v1.md,75,4,4,| 4 | `entity_id` | L124 | VARCHAR(64) | ✅ |
G23_三方逐栏对照矩阵_v1.md,75,64,64,| 4 | `entity_id` | L124 | VARCHAR(64) | ✅ | — | 对象标识，与处置账一致 | E1 | ✅ |
