P5序号,交付件,列源,总列数,可信度,用法,ROI,game_pnl,hold 族,stake 本金,valid_bet 洗码,profit 毛赢,NGR,rebate 退水,agent_cost,Net Margin,residual_b/a,Economic Value,Theo,ADT,NMPT,ESI,effect 处置效应,expected_gain,最大回撤 MDD,夏普 Sharpe,索提诺 Sortino,APUC,Wilcoxon,符号检验,AUC,Wilson 区间,PCA,vip_tier 秩,action_priority,evidence 证据,命中指标族数
11,C08_subnet_sparse.csv,实测表头,142,INVALID,SCREENING,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,✓ 1 栏：game_pnl,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 2 栏：valid_bet、valid_bet_xagg,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
12,D03S_daily_roi_diff.csv,实测表头,134,OK,REFERENCE,✓ 12 栏：roi_tail、roi_norm、roi_diff、roi…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
13,DICT_01a_bet41_tri.csv,实测表头,141,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
14,DICT_01b_roundkey_card.csv,实测表头,141,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
15,DICT_01c_dimension.csv,实测表头,139,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
16,DICT_01d_bet_latency.csv,实测表头,141,OK,REFERENCE,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
17,DX04_bet09_profile.csv,实测表头,136,OK,SUPPORT,✓ 9 栏：roi、roi_freecomm、roi_non_freecomm、roi_ex_rebate…,,✓ 4 栏：house_hold_pct、hold_rate、hold_rate_freecomm、hold_ci_halfwidth_approx,✓ 4 栏：stake_total、stake_cv、stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
18,DX05_product_panorama.csv,实测表头,142,OK,SUPPORT,✓ 9 栏：roi、roi_freecomm、roi_non_freecomm、roi_ex_rebate…,,✓ 4 栏：house_hold_pct、hold_rate、hold_rate_freecomm、hold_ci_halfwidth_approx,✓ 4 栏：stake_total、stake_share、stake、stake_ramp,✓ 2 栏：validbet_total、valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 5 栏：rebate_total、rebate_rate、rebate_cost、rebate_rate_actual…,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
19,E02_segment_econ.csv,实测表头,136,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 2 栏：validbet、valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 4 栏：rebate、rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
20,EV01_disposal_events.csv,实测表头,140,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
21,EV02_member_disposal.csv,实测表头,139,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
22,I_ip_agg.csv,实测表头,141,OK,SCREENING,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,✓ 1 栏：game_pnl,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 3 栏：stake、stake_xagg、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
23,I_ip_player.csv,实测表头,147,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,✓ 2 栏：game_pnl_ip、game_pnl_all,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 3 栏：stake_ip、stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 4 栏：rebate_ip、rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
24,K01_risk_feature_matrix.csv,实测表头,142,WRONG_GRAIN,NOT_FOR_DECISION,✓ 10 栏：roi_game、roi、roi_alarm、roi_non_alarm…,,✓ 3 栏：hold_rate、hold_rate_alarm、hold_ci_halfwidth_approx,✓ 4 栏：stake_cv、stake_p90_p50、stake、stake_ramp,✓ 2 栏：validbet、valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 4 栏：rebate_dep、rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
25,K01b_seed_goldip.csv,声明（现档不在位）,185,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 4 栏：rebate、rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 18 栏：agent_cost、agent_cost_a_legacy、agent_cost_valid_base_legacy、agent_cost_lv1…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
26,K01b_seed_manual.csv,实测表头,129,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_alarm、roi_non_alarm、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_alarm、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
27,K01c_seed_dated.csv,实测表头,133,WRONG_GRAIN,SCREENING,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
28,L_label_dist.csv,实测表头,133,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_alarm、roi_non_alarm、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_alarm、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
