"数据表","列序","列名","行业正名","语义","单位","粒度","方向","本次读入","非空率","不同值数","实测极值","在本报告的用途"
"K01_risk_feature_matrix",6,"n_ip","IP 数","该会员在窗口内用过的下注 IP 个数","个","会员","越大越可疑","✅ 已读入","100.0%","435","1.00 ~ 1,073.00","规避能力（EVA）之代理量"
"K01_risk_feature_matrix",7,"n_dealer","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","283","1.00 ~ 285.00","—"
"K01_risk_feature_matrix",8,"side_entropy","投注产品结构熵","下注分散于几种投注产品的信息熵","奈特","会员","越大越分散","✅ 已读入","100.0%","84,434","0.00 ~ 3.73","专攻高赔率边注者熵低"
"K01_risk_feature_matrix",9,"stake_cv","注额变异系数","注额标准差 ÷ 注额均值","比率","会员","越大越不稳","✅ 已读入","100.0%","117,004","0.00 ~ 18.09","注额突变的过程指标"
"K01_risk_feature_matrix",10,"stake_p90_p50","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","55,904","1.00 ~ 351.87","—"
"K01_risk_feature_matrix",11,"hedge_rate","对打率","与固定搭档反向下注的注单占比","比率 0–1","会员","越大越可疑","✅ 已读入","100.0%","12,148","0.00 ~ 1.00","对打指数维；真实流水之折减因子"
"K01_risk_feature_matrix",12,"rebate_dep","退水依赖度","退水收入 ÷ 该会员总收益","比率","会员","越大越可疑","✅ 已读入","100.0%","4,433","0.00 ~ 958,289,494.10","T3 打水型主判据"
"K01_risk_feature_matrix",13,"night_share","夜场占比","夜段（低监管密度时段）注单占比","比率 0–1","会员","越大越可疑","✅ 已读入","100.0%","40,246","0.00 ~ 1.00","行为画像辅助维"
"K01_risk_feature_matrix",14,"roi_game","游戏 ROI（剔退水）","游戏输赢 ÷ 有效投注","比率","会员","越大越可疑","✅ 已读入","100.0%","118,693","-0.91 ~ 0.95","分辨「靠赢钱」与「靠退水」"
"K01_risk_feature_matrix",15,"validbet","有效投注（洗码量）","该会员全窗口有效投注合计","货币","会员","越大规模越大","✅ 已读入","100.0%","113,267","0.00 ~ 101,787,084.70","流水贡献维之原始量"
"K01b_seed_manual",1,"member_id","人工風險單种子会员","被风控人工标记（風險單／劃單）者","无","会员","身份","✅ 已读入","100.0%","125","3,657,903.00 ~ 153,797,184.00","金标准正例来源之一；人工标记史维"
"K01b_seed_manual",2,"seed_src","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：manual_risk）","—"
"C06_hedge_pairs",1,"bet_ip","下注 IP","注单侧 IP，**与登录日志的网关 IP 不同**","无","IP","身份","✅ 已读入","100.0%","932","文本／类别（示例：49.150.111.16、119.111.228.230、119.111.224.229）","对打对的共处位置"
"C06_hedge_pairs",2,"m_a","对打成员甲","该对中的一方会员","无","会员","身份","✅ 已读入","100.0%","951","21,961,955.00 ~ 153,900,811.00","对打族名录之来源"
"C06_hedge_pairs",3,"m_b","对打成员乙","该对中的另一方会员","无","会员","身份","✅ 已读入","100.0%","1,024","5,055,759.00 ~ 153,900,854.00","同上"
"C06_hedge_pairs",4,"n_same_round","同局次数","甲乙二人同处一局的局数","局","会员对","越大证据越强","✅ 已读入","100.0%","332","30.00 ~ 7,557.00","对打判据的样本量门槛"
"C06_hedge_pairs",5,"n_opposite_round","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","269","0.00 ~ 2,590.00","—"
"C06_hedge_pairs",6,"opposite_rate","反向下注率","同局中一庄一闲（完全对冲）的占比","比率 0–1","会员对","＝1 即完全反向","✅ 已读入","100.0%","432","0.00 ~ 1.00","对打族的主判据"
"C06_hedge_pairs",7,"hedge_coverage","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","83.6%","416","0.00 ~ 1.00","—"
"R01_late_shoe",1,"uid","会员编号","同 member_id","无","会员","身份","✅ 已读入","100.0%","92,412","207,244.00 ~ 153,922,283.00","尾秒族与晚注画像之主键"
"R01_late_shoe",2,"n_orders_all","全部注单数","该会员窗口内注单总数","笔","会员","越大越活跃","✅ 已读入","100.0%","8,366","100.00 ~ 484,046.00","尾段占比之分母"
"R01_late_shoe",3,"n_orders_late","靴末段注单数","落在靴末段的注单数","笔","会员","—","✅ 已读入","100.0%","3,700","0.00 ~ 104,088.00","尾段占比之分子"
"R01_late_shoe",4,"late_def","靴末段口径锁","口径常量列：靴末段之定义（相对靴位）","文本","常量","锁","✅ 已读入","100.0%","1","文本／类别（示例：shoe_pos>=0.80）","**契约锁列**：旧版 CSV 无此列即当场不装载"
"R01_late_shoe",5,"late_share","靴末段注单占比","靴末段注单 ÷ 全部注单","比率 0–1","会员","越大越专押尾段","✅ 已读入","100.0%","43,094","0.00 ~ 0.98","尾秒族主参数（**画像用，不判罚**）"
"R01_late_shoe",6,"shoe_pos_p50","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","98.7%","2,045","0.80 ~ 1.00","—"
"R01_late_shoe",7,"stake_late_avg","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","98.7%","86,720","0.07 ~ 34,785.26","—"
"R01_late_shoe",8,"stake_early_avg","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","90,150","0.14 ~ 35,297.09","—"
"R01_late_shoe",9,"stake_ramp","注额斜率","靴内注额随局序上升的斜率","比率","会员","越陡越可疑","✅ 已读入","98.7%","88,818","0.01 ~ 27.11","加注模式的过程指标"
"R01_late_shoe",10,"roi_late","靴末段 ROI","靴末段投注的回报率（剔退水）","比率","会员","—","✅ 已读入","98.7%","87,745","-1.00 ~ 15.65","尾段优势检验之处理臂"
"R01_late_shoe",11,"roi_early","靴前中段 ROI","非末段投注的回报率（剔退水）","比率","会员","—","✅ 已读入","100.0%","91,896","-1.00 ~ 1.41","尾段优势检验之对照臂"
"R01_late_shoe",12,"stake_late","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","98.7%","84,475","0.21 ~ 44,244,675.26","—"
"R01_late_shoe",13,"game_pnl_late","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","98.7%","86,525","-1,581,850.44 ~ 816,549.50","—"
"R01_late_shoe",14,"stake_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","89,574","17.85 ~ 113,094,762.00","—"
"R01_late_shoe",15,"game_pnl_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","90,690","-4,016,417.77 ~ 2,362,896.50","—"
"R02_same_table",1,"uid1","同桌成员甲","该对中的一方会员","无","会员","身份","✅ 已读入","100.0%","17,962","207,244.00 ~ 153,922,283.00","同桌族名录之来源"
"R02_same_table",2,"uid2","同桌成员乙","该对中的另一方会员","无","会员","身份","✅ 已读入","100.0%","21,152","207,244.00 ~ 153,922,283.00","同上"
"R02_same_table",3,"n_same_orders","同桌同局注单数","甲乙同桌同局的注单数","笔","会员对","越大证据越强","✅ 已读入","100.0%","2,705","100.00 ~ 111,989.00","同桌判据之样本量门槛"
"R02_same_table",4,"rounds_1","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","6,623","300.00 ~ 484,046.00","—"
"R02_same_table",5,"rounds_2","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","6,644","300.00 ~ 484,046.00","—"
"R02_same_table",6,"same_rate","裸同桌率","同桌注单 ÷ 该对较少一方的注单","比率 0–1","会员对","越大越可疑","✅ 已读入","100.0%","257,546","0.00 ~ 1.00","**须活跃度校正**，裸值会被高频客污染"
"R02_same_table",7,"jaccard","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","119,755","0.00 ~ 1.00","—"
"R02_same_table",8,"lift","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","458,974","0.09 ~ 747.31","—"
"R02_same_table",9,"exp_same","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","463,627","0.30 ~ 70,401.35","—"
"R02_same_table",10,"n_tables","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","30","1.00 ~ 30.00","—"
"R02_same_table",11,"first_day","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","139","20,533.00 ~ 20,671.00","—"
"R02_same_table",12,"last_day","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","138","20,534.00 ~ 20,671.00","—"
"R03_player_dealer",1,"uid","会员编号","同 member_id","无","会员","身份","✅ 已读入","100.0%","29,338","207,244.00 ~ 153,922,283.00","玩家×荷官关联主键之一"
"R03_player_dealer",2,"dealer_id","荷官工号","荷官身份键（对 bet02.eid）；**字符型，不得数值化**","无","荷官","身份","✅ 已读入","100.0%","288","462.00 ~ 2,289.00","荷官侧一切归因之主键"
"R03_player_dealer",3,"is_sentinel_dealer","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","0.00 ~ 0.00","—"
"R03_player_dealer",4,"stake_amount","关联投注额","该玩家在该荷官桌上的投注额","货币","玩家×荷官","越大敞口越大","✅ 已读入","100.0%","481,339","0.30 ~ 2,992,600.63","荷官侧营业额归因之基数"
"R03_player_dealer",5,"profit_amount","关联盈亏","该玩家在该荷官桌上的输赢","货币","玩家×荷官","会员为正即平台亏","✅ 已读入","100.0%","492,401","-786,175.50 ~ 827,801.00","荷官侧盈亏归因之基数"
"R03_player_dealer",6,"net_pnl","会员净输赢（含退水）","账户口径：游戏输赢 ＋ 退水","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","492,639","-786,175.50 ~ 827,801.00","NGR₂ 之来源；平台净贡献 ＝ −Σnet_pnl"
"R03_player_dealer",7,"win_rate","关联胜率","该组合的决胜局胜率（**和局退还不入分母**）","比率 0–1","玩家×荷官","—","✅ 已读入","100.0%","10,772","0.00 ~ 0.89","R-03 判定之原口径"
"R03_player_dealer",8,"n_related_orders","关联注单数","该组合的注单数","笔","玩家×荷官","越大越可信","✅ 已读入","100.0%","1,639","30.00 ~ 4,972.00","样本量门槛"
"R03_player_dealer",9,"n_rounds_eff","有效局数","该组合的决胜局数","局","玩家×荷官","越大越可信","✅ 已读入","100.0%","1,444","30.00 ~ 4,972.00","Z 分数之样本量"
"R03_player_dealer",10,"p_base_mix_w","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","283,358","0.02 ~ 0.62","—"
"R03_player_dealer",11,"p_base_mix_unw","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","243,984","0.02 ~ 0.62","—"
"R03_player_dealer",12,"total_bet_amount","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","481,339","0.30 ~ 2,992,600.63","—"
"R03_player_dealer",13,"n_bets","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1,639","30.00 ~ 4,972.00","—"
"R03_player_dealer",14,"z_score_w","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","414,018","-4.69 ~ 16.05","—"
"R03_player_dealer",15,"z_score_unw","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","409,179","-4.69 ~ 23.75","—"
"R03_player_dealer",16,"z_score","投注产品基准 Z 分数","实测胜率高出该**投注产品自身基准**几个标准差","标准差","玩家×荷官","越大越异常","✅ 已读入","100.0%","414,018","-4.69 ~ 16.05","R-03 统计修正轨主判据"
"R03_player_dealer",17,"delta_p","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","266,671","-0.07 ~ 0.33","—"
"R03_player_dealer",18,"delta_z","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","355,605","-14.25 ~ 1.14","—"
"R03_player_dealer",19,"net_pnl_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","29,274","-4,016,417.77 ~ 2,362,896.50","—"
"R03_player_dealer",20,"game_pnl_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","29,274","-4,016,417.77 ~ 2,362,896.50","—"
"R03_player_dealer",21,"stake_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","29,283","9.49 ~ 113,094,762.00","—"
"R03_player_dealer",22,"win_rate_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","20,846","0.06 ~ 0.73","—"
"R03_player_dealer",23,"win_rate_other","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","284,708","0.00 ~ 1.00","—"
"R03_player_dealer",24,"eligibility_status","资格状态","SQL 侧的分层裁定（ELIGIBLE／SENTINEL_DEALER…）","文本","行","—","✅ 已读入","100.0%","1","文本／类别（示例：ELIGIBLE）","**血统第一等证据**：哨兵剔除以其为准，不靠 R 侧推断"
"R03_player_dealer",25,"eligibility_min_n","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","30.00 ~ 30.00","—"
"R03_player_dealer",26,"eligibility_rule","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：n_rounds_eff >= 30 且基准非空且非哨兵）","—"
"R03_player_dealer",27,"filter_stage","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：L1_ELIGIBILITY）","—"
"R03_player_dealer",28,"filter_rule_version","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：v2026-08-11）","—"
"R03_player_dealer",29,"comparison_id","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：R03_20260811_FULL_v1）","—"
"R03_player_dealer",30,"cmp_time_window","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：2026-03-21..2026-08-06）","—"
"R03_player_dealer",31,"cmp_population","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：baccarat_bet02_101_all_pairs_incl_sentinel）","—"
"R03_player_dealer",32,"cmp_label","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：round_win = game_pnl > 0 (decisive only)）","—"
"R03_player_dealer",33,"z_score_alias_status","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：COMPATIBILITY_ONLY_NOT_PRODUCTION）","—"
"R03b_player_dealer_daily",1,"bet_date","营业日","同上","日期","日","时间","✅ 已读入","100.0%","47","20,533.00 ~ 20,579.00","荷官日粒度归因之时间轴"
"R03b_player_dealer_daily",2,"uid","会员编号","同 member_id","无","会员","身份","✅ 已读入","100.0%","299,114","145,124.00 ~ 149,617,167.00","尾秒族与晚注画像之主键"
"R03b_player_dealer_daily",3,"dealer_id","荷官工号","荷官身份键（对 bet02.eid）；**字符型，不得数值化**","无","荷官","身份","✅ 已读入","100.0%","261","462.00 ~ 2,273.00","荷官侧一切归因之主键"
"R03b_player_dealer_daily",4,"is_sentinel_dealer","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",5,"stake_amount","关联投注额","该玩家在该荷官桌上的投注额","货币","玩家×荷官","越大敞口越大","✅ 已读入","100.0%","489,845","0.00 ~ 1,395,275.86","荷官侧营业额归因之基数"
"R03b_player_dealer_daily",6,"profit_amount","关联盈亏","该玩家在该荷官桌上的输赢","货币","玩家×荷官","会员为正即平台亏","✅ 已读入","100.0%","724,942","-547,557.26 ~ 295,000.00","荷官侧盈亏归因之基数"
"R03b_player_dealer_daily",7,"net_pnl","会员净输赢（含退水）","账户口径：游戏输赢 ＋ 退水","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","807,896","-547,557.26 ~ 295,000.00","NGR₂ 之来源；平台净贡献 ＝ −Σnet_pnl"
"R03b_player_dealer_daily",8,"win_rate","关联胜率","该组合的决胜局胜率（**和局退还不入分母**）","比率 0–1","玩家×荷官","—","✅ 已读入","100.0%","2,840","0.00 ~ 1.00","R-03 判定之原口径"
"R03b_player_dealer_daily",9,"n_related_orders","关联注单数","该组合的注单数","笔","玩家×荷官","越大越可信","✅ 已读入","100.0%","462","1.00 ~ 667.00","样本量门槛"
"R03b_player_dealer_daily",10,"n_rounds_eff","有效局数","该组合的决胜局数","局","玩家×荷官","越大越可信","✅ 已读入","100.0%","445","1.00 ~ 667.00","Z 分数之样本量"
"R03b_player_dealer_daily",11,"p_base_mix_w","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",12,"p_base_mix_unw","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",13,"z_score_w","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",14,"z_score_unw","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",15,"z_score","投注产品基准 Z 分数","实测胜率高出该**投注产品自身基准**几个标准差","标准差","玩家×荷官","越大越异常","✅ 已读入","100.0%","1,103,201","-3.98 ~ 9.87","R-03 统计修正轨主判据"
"R03b_player_dealer_daily",16,"delta_p","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",17,"eligibility_status","资格状态","SQL 侧的分层裁定（ELIGIBLE／SENTINEL_DEALER…）","文本","行","—","✅ 已读入","100.0%","1","文本／类别（示例：ELIGIBLE）","**血统第一等证据**：哨兵剔除以其为准，不靠 R 侧推断"
"R03b_player_dealer_daily",18,"comparison_id","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",19,"filter_stage","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",20,"filter_rule_version","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",21,"cmp_time_window","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",22,"cmp_population","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",23,"cmp_label","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"R03b_player_dealer_daily",24,"z_score_alias_status","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","◻️ 未读入（仅留表头证据）","—","—","—","—"
"I_ip_player",1,"bet_ip","下注 IP","注单侧 IP","无","IP","身份","✅ 已读入","100.0%","484,918","文本／类别（示例：103.163.119.52、103.130.214.118、113.176.106.68）","异常 IP 族之位置键"
"I_ip_player",2,"member_id","会员编号","同上","无","会员","身份","✅ 已读入","100.0%","145,827","207,244.00 ~ 153,923,366.00","玩家×IP 连接键"
"I_ip_player",3,"lv3","三级代理线","该会员所属 LV3 代理线","无","代理线","身份","✅ 已读入","100.0%","376","0.00 ~ 57,090.00","**代理侧一切归因之主键**"
"I_ip_player",4,"n_orders_ip","该 IP 下注单数","该会员在该 IP 的注单数","笔","会员×IP","越大越主力","✅ 已读入","100.0%","4,301","30.00 ~ 203,528.00","有效关联之样本量门槛"
"I_ip_player",5,"n_rounds_ip","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","3,544","4.00 ~ 203,528.00","—"
"I_ip_player",6,"stake_ip","该 IP 下投注额","该会员在该 IP 的投注额","货币","会员×IP","越大敞口越大","✅ 已读入","100.0%","596,602","3.52 ~ 97,050,361.95","异常 IP 族营业额口径"
"I_ip_player",7,"game_pnl_ip","该 IP 下游戏输赢","剔退水口径","货币","会员×IP","会员为正即平台亏","✅ 已读入","100.0%","613,607","-2,443,212.47 ~ 1,854,297.40","异常 IP 族毛利口径"
"I_ip_player",8,"rebate_ip","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","34,660","0.00 ~ 790,797.91","—"
"I_ip_player",9,"net_pnl_ip","该 IP 下净输赢","含退水口径","货币","会员×IP","会员为正即平台亏","✅ 已读入","100.0%","618,779","-1,652,414.57 ~ 1,854,297.40","异常 IP 族盈亏口径"
"I_ip_player",10,"n_orders_all","全部注单数","该会员窗口内注单总数","笔","会员","越大越活跃","✅ 已读入","100.0%","8,436","30.00 ~ 484,046.00","尾段占比之分母"
"I_ip_player",11,"n_rounds_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","7,024","4.00 ~ 484,046.00","—"
"I_ip_player",12,"net_pnl_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","139,977","-4,016,417.77 ~ 2,362,896.50","—"
