交付件,锚行,谓词行号,涉闸(层),真代码区谓词原文
R01_late_shoe.csv,3281,3317,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
R01_late_shoe.csv,3281,3318,bet04(Quality),"AND CAST(NULLIF(TRIM(r.bet04),'') AS INT) > 0"
R02_same_table.csv,3427,3435,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
R02_same_table.csv,3427,3436,bet02(Identity)、category(Population),AND b.bet02 = '101' AND b.category = '1'
R02_same_table.csv,3427,3437,bet38(State),AND UPPER(TRIM(b.bet38)) = 'N'
R02_same_table.csv,3427,3438,bet05(Quality),"AND CAST(NULLIF(TRIM(b.bet05),'') AS BIGINT) > 0"
R03_player_dealer.csv,3636,3646,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
R03_player_dealer.csv,3636,3647,bet02(Identity)、category(Population),AND b.bet02 = '101' AND b.category = '1'
R03_player_dealer.csv,3636,3659,rn(Identity),WHERE r.rn = 1
R03_player_dealer.csv,3636,3660,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
R03_player_dealer.csv,3636,3661,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
R03_player_dealer.csv,3636,3662,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
R03chk_settlement_form.csv,3818,3826,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
R03chk_settlement_form.csv,3818,3827,bet02(Identity)、category(Population),AND b.bet02 = '101' AND b.category = '1'
R03chk_settlement_form.csv,3818,3836,rn(Identity),WHERE r.rn = 1
R03chk_settlement_form.csv,3818,3837,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
R03chk_settlement_form.csv,3818,3838,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
R03chk_settlement_form.csv,3818,3839,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
R03inv_pair_census.csv,3873,3886,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
R03inv_pair_census.csv,3873,3887,bet02(Identity)、category(Population),AND b.bet02 = '101' AND b.category = '1'
R03inv_pair_census.csv,3873,3897,bet38(State)、rn(Identity),WHERE r.rn = 1 AND UPPER(TRIM(r.bet38)) = 'N'
R03inv_pair_census.csv,3873,3898,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
R03inv_pair_census.csv,3873,3899,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
TL14_limit_treatment.csv,4192,4199,dt(Window),AND dt = ( SELECT MAX(dt) FROM ods_mariadb_2b.ods_a168_bet_limit_default )
TL14_limit_treatment.csv,4192,4209,dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07'
TL14_limit_treatment.csv,4192,4249,dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07'
TL14_limit_treatment.csv,4192,4250,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
T02_daily_roi.csv,4280,4282,age022(Population),SELECT age001 AS agent_id FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
T02_daily_roi.csv,4280,4293,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
T02_daily_roi.csv,4280,4294,bet02(Identity),AND b.bet02 = '101'
T02_daily_roi.csv,4280,4310,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
T02_daily_roi.csv,4280,4311,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
T02_daily_roi.csv,4280,4312,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
T03_arbitrage.csv,4338,4340,age022(Population),SELECT age001 AS agent_id FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
T03_arbitrage.csv,4338,4352,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
T03_arbitrage.csv,4338,4353,bet02(Identity),AND b.bet02 = '101'
T03_arbitrage.csv,4338,4370,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
T03_arbitrage.csv,4338,4371,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
T03_arbitrage.csv,4338,4372,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
B01_bt_panel.csv,4447,4450,age022(Population),SELECT age001 AS agent_id FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
B01_bt_panel.csv,4447,4462,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
B01_bt_panel.csv,4447,4463,bet02(Identity),AND b.bet02 = '101'
B01_bt_panel.csv,4447,4483,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
B01_bt_panel.csv,4447,4484,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
B01_bt_panel.csv,4447,4485,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
B01_bt_panel_delta.csv,4532,4542,age022(Population),SELECT age001 AS agent_id FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
B01_bt_panel_delta.csv,4532,4554,dt(Window),WHERE b.dt >= '2026-08-04' AND b.dt < '2026-08-07'
B01_bt_panel_delta.csv,4532,4555,bet02(Identity),AND b.bet02 = '101'
B01_bt_panel_delta.csv,4532,4575,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
B01_bt_panel_delta.csv,4532,4576,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
B01_bt_panel_delta.csv,4532,4577,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
K01_risk_feature_matrix.csv,4633,4635,age022(Population),SELECT age001 AS agent_id FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
K01_risk_feature_matrix.csv,4633,4648,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
K01_risk_feature_matrix.csv,4633,4649,bet02(Identity),AND b.bet02 = '101'
K01_risk_feature_matrix.csv,4633,4668,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
K01_risk_feature_matrix.csv,4633,4669,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
K01_risk_feature_matrix.csv,4633,4670,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
K01b_seed_goldip.csv,4771,4775,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
K01b_seed_goldip.csv,4771,4776,bet02(Identity)、category(Population),AND b.bet02 = '101' AND b.category = '1'
K01b_seed_goldip.csv,4771,4777,bet38(State),AND UPPER(TRIM(b.bet38)) = 'N'
C06_hedge_pairs.csv,4948,4951,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
C06_hedge_pairs.csv,4948,4963,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
C06_hedge_pairs.csv,4948,4973,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
C06_hedge_pairs.csv,4948,4974,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
C06_hedge_pairs.csv,4948,4975,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
C06_hedge_pairs.csv,4948,4976,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
DX04_bet09_profile.csv,5105,5114,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
DX04_bet09_profile.csv,5105,5124,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
DX04_bet09_profile.csv,5105,5125,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
DX04_bet09_profile.csv,5105,5126,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
DX05_product_panorama.csv,5154,5156,age022(Population),SELECT age001 AS agent_id FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
DX05_product_panorama.csv,5154,5167,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
DX05_product_panorama.csv,5154,5187,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
DX05_product_panorama.csv,5154,5188,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
DX05_product_panorama.csv,5154,5189,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
R03b_player_dealer_daily.csv,5252,5287,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
R03b_player_dealer_daily.csv,5252,5288,bet02(Identity)、category(Population),AND b.bet02 = '101' AND b.category = '1'
R03b_player_dealer_daily.csv,5252,5300,bet38(State)、rn(Identity),WHERE r.rn = 1 AND UPPER(TRIM(r.bet38)) = 'N'
R03b_player_dealer_daily.csv,5252,5301,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
R03b_player_dealer_daily.csv,5252,5302,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
S02b_dealer_pace.csv,5522,5527,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
S02b_dealer_pace.csv,5522,5538,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
S02b_dealer_pace.csv,5522,5548,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
S02b_dealer_pace.csv,5522,5549,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
S02b_dealer_pace.csv,5522,5550,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
S02b_dealer_pace.csv,5522,5551,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
P0C04_同日泄漏检验.csv,6919,6932,dt(Window),WHERE dt >= '2026-03-21'
P0C04_同日泄漏检验.csv,6919,6933,dt(Window),AND dt < '2026-08-07'
P0C04_同日泄漏检验.csv,6919,6935,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
P0C04_同日泄漏检验.csv,6919,6945,dt(Window),WHERE b.dt >= '2026-03-21'
P0C04_同日泄漏检验.csv,6919,6946,dt(Window),AND b.dt < '2026-08-07'
P0C04_同日泄漏检验.csv,6919,6947,bet02(Identity),AND CAST(b.bet02 AS STRING) = '101'
P0C05_标记时点定位.csv,6966,6982,dt(Window),WHERE dt >= '2026-03-21'
P0C05_标记时点定位.csv,6966,6983,dt(Window),AND dt < '2026-08-07'
P0C05_标记时点定位.csv,6966,6985,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
P0C05_标记时点定位.csv,6966,6994,dt(Window),WHERE dt >= '2026-03-21'
P0C05_标记时点定位.csv,6966,6995,dt(Window),AND dt < '2026-08-07'
P0C05_标记时点定位.csv,6966,6996,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
P0C06_LabelB骨架.csv,7002,7010,dt(Window),WHERE dt >= '2026-03-21'
