序号,锚行,交付件,族,Identity_bet02,Identity_rn,Population_age022,Population_category,State_bet38,Quality_bet05gt0,Quality_bet08notnull,Quality_bet11gt0,Quality_bet04gt0,Window_dt,Stability_orderby,单行结果集,缺口数,拟需豁免项(机器提示),豁免理由(人工填写·必填),定谳(PASS/FAIL/WAIVER_DECLARED),填写人,日期
17,2463,S05_member_month_panel.csv,S 评分族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
18,2544,I_ip_agg.csv,其他,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
19,2625,X_combo.csv,其他,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
20,2714,P_player_month.csv,其他,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
21,2778,B_online_base.csv,其他,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
22,2866,V_ipmatch.csv,其他,有,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,8,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
23,3281,R01_late_shoe.csv,R 行为族,有,有,有,有,有,有,缺,有,有,有,有,是,1,bet08notnull,,,,
24,3427,R02_same_table.csv,R 行为族,有,缺,缺,有,有,有,缺,缺,缺,有,有,是,5,rn、age022、bet08notnull、bet11gt0、bet04gt0,,,,
25,3636,R03_player_dealer.csv,R 行为族,有,有,缺,有,有,有,缺,有,缺,有,有,是,3,age022、bet08notnull、bet04gt0,,,,
26,3818,R03chk_settlement_form.csv,R 行为族,有,有,缺,有,有,有,缺,有,缺,有,有,是,3,age022、bet08notnull、bet04gt0,,,,
27,3873,R03inv_pair_census.csv,R 行为族,有,有,缺,有,有,有,缺,有,缺,有,有,是,3,age022、bet08notnull、bet04gt0,,,,
28,4192,TL14_limit_treatment.csv,TL 处置台账族,有,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,8,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
29,4280,T02_daily_roi.csv,T 经济族,有,有,有,有,有,有,缺,有,缺,有,有,是,2,bet08notnull、bet04gt0,,,,
30,4338,T03_arbitrage.csv,T 经济族,有,有,有,有,有,有,缺,有,缺,有,有,是,2,bet08notnull、bet04gt0,,,,
31,4447,B01_bt_panel.csv,B 面板族,有,有,有,有,有,有,缺,有,缺,有,有,是,2,bet08notnull、bet04gt0,,,,
32,4532,B01_bt_panel_delta.csv,B 面板族,有,有,有,有,有,有,缺,有,缺,有,有,是,2,bet08notnull、bet04gt0,,,,
33,4633,K01_risk_feature_matrix.csv,K 种子族,有,有,有,有,有,有,缺,有,缺,有,有,是,2,bet08notnull、bet04gt0,,,,
34,4771,K01b_seed_goldip.csv,K 种子族,有,缺,缺,有,有,缺,缺,缺,缺,有,有,是,6,rn、age022、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
35,4948,C06_hedge_pairs.csv,C 关联族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
36,5105,DX04_bet09_profile.csv,DX 产品族,有,有,缺,有,有,有,缺,有,缺,有,有,是,3,age022、bet08notnull、bet04gt0,,,,
37,5154,DX05_product_panorama.csv,DX 产品族,缺,有,有,有,有,有,缺,有,缺,有,有,是,3,bet02、bet08notnull、bet04gt0,,,,
38,5226,V_table_counts.csv,其他,缺,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,是,10,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0、dt,,,,
39,5252,R03b_player_dealer_daily.csv,R 行为族,有,有,缺,有,有,有,缺,有,缺,有,有,是,3,age022、bet08notnull、bet04gt0,,,,
40,5522,S02b_dealer_pace.csv,S 评分族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
41,6919,P0C04_同日泄漏检验.csv,P0C 因果族,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,9,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
42,6966,P0C05_标记时点定位.csv,P0C 因果族,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,9,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
43,7002,P0C06_LabelB骨架.csv,P0C 因果族,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,9,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
44,7121,P0C09_安慰剂检验.csv,P0C 因果族,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,9,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
45,7192,C06d_hedge_pairs_dated.csv,C 关联族,有,有,有,有,有,有,有,有,缺,有,有,是,1,bet04gt0,,,,
46,7671,TL08_treatment_events.csv,TL 处置台账族,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,9,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
47,7745,TL10_treatment_ledger.csv,TL 处置台账族,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,9,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
48,7834,TL11_treatment_episode.csv,TL 处置台账族,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,9,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
49,8103,TL11c_population_reconcile.csv,TL 处置台账族,缺,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,9,bet02、rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
50,8322,P01A_crosstab.csv,P01 恒等族(§Z-18),有,缺,缺,缺,缺,缺,缺,缺,缺,有,缺,是,9,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0、orderby,,,,
51,8357,P01B_diff_ratio.csv,P01 恒等族(§Z-18),有,缺,缺,缺,缺,缺,缺,缺,缺,有,缺,是,9,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0、orderby,,,,
52,8379,P01C_split_by_dim.csv,P01 恒等族(§Z-18),有,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,8,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
53,8408,P01D_vs_validbet.csv,P01 恒等族(§Z-18),有,缺,缺,缺,缺,缺,缺,缺,缺,有,缺,是,9,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0、orderby,,,,
54,8429,P01E_identity_test.csv,P01 恒等族(§Z-18),有,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,8,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
55,8517,P02C_key_check.csv,P02 处置样本族(§Z-19),有,缺,缺,缺,缺,缺,缺,缺,缺,有,有,是,8,rn、age022、category、bet38、bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
56,8567,P11_阿泽尾段投注模型会员名单.csv,P11 契约族,有,有,有,有,有,有,缺,有,有,有,有,是,1,bet08notnull,,,,
57,8652,P11_阿泽尾段投注总帐.csv,P11 契约族,有,有,有,有,有,有,有,有,有,有,有,是,0,,,,,
58,8799,P11_雷欧尾段投注总帐.csv,P11 契约族,有,有,有,有,有,有,缺,有,有,有,有,是,1,bet08notnull,,,,
59,8938,P12a_platform_daily.csv,P12 评估线,有,有,有,有,有,缺,缺,缺,缺,有,有,是,4,bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
60,9012,P12b_member_events.csv,P12 评估线,有,有,有,有,有,缺,缺,缺,缺,有,有,是,4,bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
61,9080,P12c_member_daily_pnl.csv,P12 评估线,有,有,有,有,有,缺,缺,缺,缺,有,有,是,4,bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
62,9170,R01_late_shoe_w2.csv,R 行为族,有,有,有,有,有,有,缺,有,有,有,有,是,1,bet08notnull,,,,
63,9265,P13_personal_entry.csv,P13 个人入场层,有,有,有,有,有,缺,缺,缺,缺,有,有,是,4,bet05gt0、bet08notnull、bet11gt0、bet04gt0,,,,
