来源,字段,正名,类型与陷阱,本档用途
ods_a168_bet02 注单明细表,updatetime,记录更新时间,去重排序第一键；单键并列时结果随机，故须三级排序,幂等去重排序
ods_a168_bet02 注单明细表,sync_time,同步时间,去重排序第二键,幂等去重排序
ods_a168_bet02 注单明细表,eid,荷官工号,"**TRIM(eid) IN (-1, 0) 为哨兵值**，占约 15.24% 记录；本档未用，登记以防误引",—
ods_a168_agent 代理主档,age001,代理号（主键）,varchar；与 bet18–bet22 的连接键。**同一代理可挂多层，取名册前须 DISTINCT**，否则连接放大行数,测试线名册主键
ods_a168_agent 代理主档,age022,测试线标识,'1'＝测试线，全平台共 214 条。StarRocks 不支持 EXISTS 配多列 IN，故以五道 LEFT JOIN＋空值判定替代,测试线名册筛选条件
ods_a168_agent_dtl 代理明细,ag012,抽成率,**易误读：此为荷官留成，非平台留成**；κ≈1.660%、ρ≈0.349%,—（登记以防误引）
派生 · 中间层,rn,注单版本序号,ROW_NUMBER 产出；rn=1 即最新版,幂等去重取头行
派生 · 中间层,aid,测试代理号,ta 名册的输出列,五级连接键
派生 · 中间层,ok,加闸口径行标记,0/1。**闸设计为打标而非过滤**——过滤会毁掉对照组，打标才使两套口径同表并出,双口径的关键
派生 · 中间层,fxr,汇率（已转型）,"DECIMAL(20,8)",金额归一除数
派生 · 中间层,round_no,靴内局号（已转型）,INT 且 > 0,靴尾判定
派生 · 中间层,bet_amt / pay_amt / reb_amt / net_amt / vb_amt,下注额／派彩额／退水／净输赢／洗码量（已转型）,"DECIMAL(20,4)；皆为**未除汇率**的原币金额",除汇率后进入各汇总项
输出 · BASE08,player_id,会员号（已转型）,BIGINT；排序须用它，不可用 ROI（非稳定主键序）,主键 · 排序键
输出 · BASE08,total_orders_raw / _ok,总订单数（原口径／加闸口径）,两者之差即六道闸剔除的注单量,占比分母 · 样本量闸
输出 · BASE08,late_orders_raw / _ok,靴尾订单数（两口径）,第 40 局及以后；绝对局号，口径随靴长漂移,占比分子
输出 · BASE08,late_ratio_raw / _ok,靴尾占比（两口径）,**比率量不可求「占比」**，跨群合成须按量加权重算,主阈值判据
输出 · BASE08,win_orders_raw / _ok,胜单数（两口径）,以 派彩 > 下注 判胜；**和局派彩＝本金，落入非胜**,胜率分子
输出 · BASE08,lose_orders_ok,负单数,派彩 < 下注,剔和分母的组成
输出 · BASE08,tie_orders_ok,和局数,派彩 ＝ 下注。**须查证退款单／取消单是否亦等额**，否则此列含杂,剔和分母的扣除项
输出 · BASE08,win_rate_raw,胜单率（原口径）,分母＝总订单数，**含和局 → 系统性偏低**，且偏低幅度随押和偏好而异,与剔和口径对比
输出 · BASE08,win_rate_ok,胜率（剔和口径）,分母＝胜单＋负单,正确口径的胜率
输出 · BASE08,valid_bet_raw / _ok,洗码量（两口径）,已除汇率；**双定义未锁前只作画像，不作结算**,ROI 分母 · 经济权重
输出 · BASE08,profit_raw / _ok,会员盈利（两口径）,＝(派彩−下注)÷汇率，会员视角：正数＝会员赢；**平台毛赢＝−Σprofit**,ROI 分子 · 结算
输出 · BASE08,rebate_ok,退水（加闸口径）,平台成本项,恒等式自校
输出 · BASE08,net_pnl_ok,会员净输赢（加闸口径）,净输赢 ＝ 游戏输赢 ＋ 退水,恒等式自校
输出 · BASE08,roi_raw / roi_ok,投资回报率（两口径）,**未分层前不可作经济解读**——ROI 符号随佣金模式翻转，辛普森悖论曾致 56% 低估,核心经济指标
输出 · BASE08,resid_identity,恒等式残差,＝净输赢 − 游戏输赢 − 退水，**理论恒为 0**；非零即口径漂移,停止准则 A1 自校
输出 · BASE08,rule_def / window_def,规则口径锁／窗口口径锁,常量列随件落盘；**无锁列的旧档一律拒读**,防新旧口径混用
输出 · BASE08,hit_raw / hit_ok,命中标记（两口径）,改收口为标记，两集合方可做**名单差集**,闸影响的直接度量
输出 · BASE05,key_def,靴键口径标识,A_bet03＝仅场次；B_dt_bet03_bet39＝营业日｜场次｜桌号,两种靴键并列对读
输出 · BASE05,shoe_len,靴长（该靴最大局号）,并靴会使其虚高；极端值须单独查证,靴内进度与覆盖率漂移
输出 · BASE05,n_shoes,该靴长的靴数（频次）,频次表权重；分位由加权逆累积分布法精确求得，不用近似函数,靴长分位
输出 · BASE06,avg_first_round,平均首注局号,**描述何时入场，与靴尾占比是两回事**；中途入场者天然靴尾占比高,误判来源的分辨维
输出 · BASE07,start_round,起始局号档位,由 ks 集合决定；**档位应由靴内进度反解 k＝CEIL(p×靴长)，不由人拍**,起始局号扫描分组键
