表,指标栏,零点,形态,可建阶梯,说明,族
_PH0_1b_table_inventory.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_1b_table_inventory.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_1b_table_inventory.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_1b_table_inventory.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_1b_table_inventory.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_1b_table_inventory.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_1b_table_inventory.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_1b_table_inventory.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_1b_table_inventory.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_1b_table_inventory.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_1b_table_inventory.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_1b_table_inventory.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_1b_table_inventory.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_1b_table_inventory.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_1b_table_inventory.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_1b_table_inventory.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
_PH0_1b_table_inventory.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
_PH0_2b_column_inventory.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
_PH0_2b_column_inventory.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_2b_column_inventory.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_2b_column_inventory.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_2b_column_inventory.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_2b_column_inventory.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_2b_column_inventory.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_2b_column_inventory.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_2b_column_inventory.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_2b_column_inventory.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_2b_column_inventory.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_2b_column_inventory.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_2b_column_inventory.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_2b_column_inventory.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_2b_column_inventory.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_2b_column_inventory.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_2b_column_inventory.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_2b_column_inventory.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_2b_column_inventory.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
_PH0_2b_column_inventory.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
_PH0_3_lmc_category.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
_PH0_3_lmc_category.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_3_lmc_category.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_3_lmc_category.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_3_lmc_category.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_3_lmc_category.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_3_lmc_category.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_3_lmc_category.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_3_lmc_category.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_3_lmc_category.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_3_lmc_category.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_3_lmc_category.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_3_lmc_category.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_3_lmc_category.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_3_lmc_category.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_3_lmc_category.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_3_lmc_category.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_3_lmc_category.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_3_lmc_category.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
_PH0_3_lmc_category.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
_PH0_4b_rg_keyword.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
_PH0_4b_rg_keyword.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4b_rg_keyword.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4b_rg_keyword.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4b_rg_keyword.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4b_rg_keyword.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4b_rg_keyword.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4b_rg_keyword.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4b_rg_keyword.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4b_rg_keyword.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_4b_rg_keyword.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_4b_rg_keyword.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_4b_rg_keyword.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4b_rg_keyword.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4b_rg_keyword.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4b_rg_keyword.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4b_rg_keyword.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4b_rg_keyword.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4b_rg_keyword.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
_PH0_4b_rg_keyword.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
_PH0_4L1_member_columns.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
_PH0_4L1_member_columns.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4L1_member_columns.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4L1_member_columns.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4L1_member_columns.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4L1_member_columns.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4L1_member_columns.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4L1_member_columns.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4L1_member_columns.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4L1_member_columns.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_4L1_member_columns.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_4L1_member_columns.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_4L1_member_columns.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4L1_member_columns.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4L1_member_columns.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4L1_member_columns.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4L1_member_columns.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4L1_member_columns.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4L1_member_columns.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
_PH0_4L1_member_columns.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
_PH0_4w2_balance_points.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
_PH0_4w2_balance_points.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4w2_balance_points.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4w2_balance_points.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4w2_balance_points.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4w2_balance_points.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4w2_balance_points.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4w2_balance_points.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4w2_balance_points.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
_PH0_4w2_balance_points.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_4w2_balance_points.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_4w2_balance_points.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
_PH0_4w2_balance_points.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4w2_balance_points.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4w2_balance_points.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4w2_balance_points.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4w2_balance_points.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4w2_balance_points.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
_PH0_4w2_balance_points.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
_PH0_4w2_balance_points.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
_PH0_6b_member_daily.csv,roi,0,原生（逐行）,✓,ROI：0 即不赚不赔,ROI
_PH0_6b_member_daily.csv,net_margin_bet23_formal_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_PH0_6b_member_daily.csv,net_margin_bet23_formal_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_PH0_6b_member_daily.csv,net_margin_lv1_bet23_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_PH0_6b_member_daily.csv,net_margin_lv1_bet23_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_PH0_6b_member_daily.csv,net_margin_chain_additive_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_PH0_6b_member_daily.csv,net_margin_chain_nested_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_PH0_6b_member_daily.csv,net_margin_chain_additive_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_PH0_6b_member_daily.csv,net_margin_chain_nested_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
_PH0_6b_member_daily.csv,profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
_PH0_6b_member_daily.csv,ngr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
_PH0_6b_member_daily.csv,p50_profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
_PH0_6b_member_daily.csv,residual_chain_additive,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_PH0_6b_member_daily.csv,residual_chain_nested,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_PH0_6b_member_daily.csv,residual_b,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_PH0_6b_member_daily.csv,residual_a,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_PH0_6b_member_daily.csv,residual_b_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_PH0_6b_member_daily.csv,residual_a_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
_PH0_6b_member_daily.csv,hold_rate,0,原生（逐行）,✓,hold 率：0 即无抽水；⛔ 经济参照点本应为理论庄家优势，然 house_edge 全 NULL（F-22~25 阻断），暂以 0 代之并标明,hold
_PH0_6b_member_daily.csv,economic_value,,原生（逐行）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
A_anchor.csv,roi,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,ROI
A_anchor.csv,net_margin_bet23_formal_canonical,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,NetMargin
A_anchor.csv,net_margin_bet23_formal_rate_canonical,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,NetMargin
A_anchor.csv,net_margin_lv1_bet23_canonical,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,NetMargin
A_anchor.csv,net_margin_lv1_bet23_rate_canonical,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,NetMargin
A_anchor.csv,net_margin_chain_additive_canonical,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,NetMargin
A_anchor.csv,net_margin_chain_nested_canonical,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,NetMargin
A_anchor.csv,net_margin_chain_additive_rate_canonical,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,NetMargin
A_anchor.csv,net_margin_chain_nested_rate_canonical,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,NetMargin
A_anchor.csv,profit,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,盈亏
A_anchor.csv,ngr,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,盈亏
A_anchor.csv,p50_profit,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,盈亏
A_anchor.csv,residual_chain_additive,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,残差
A_anchor.csv,residual_chain_nested,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,残差
A_anchor.csv,residual_b,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,残差
A_anchor.csv,residual_a,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,残差
A_anchor.csv,residual_b_rate,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,残差
A_anchor.csv,residual_a_rate,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,残差
A_anchor.csv,hold_rate,0,全 NA,✗,⛔ 全 NA：NULL ≠ 0，不得填零充数,hold
A_anchor.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
B_online_base.csv,roi,0,原生（逐行）,✓,ROI：0 即不赚不赔,ROI
B_online_base.csv,net_margin_bet23_formal_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
B_online_base.csv,net_margin_bet23_formal_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
B_online_base.csv,net_margin_lv1_bet23_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
B_online_base.csv,net_margin_lv1_bet23_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
B_online_base.csv,net_margin_chain_additive_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
B_online_base.csv,net_margin_chain_nested_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
B_online_base.csv,net_margin_chain_additive_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
B_online_base.csv,net_margin_chain_nested_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
B_online_base.csv,profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
B_online_base.csv,ngr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
B_online_base.csv,p50_profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
B_online_base.csv,residual_chain_additive,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
B_online_base.csv,residual_chain_nested,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
B_online_base.csv,residual_b,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
B_online_base.csv,residual_a,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
B_online_base.csv,residual_b_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
B_online_base.csv,residual_a_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
B_online_base.csv,hold_rate,0,原生（逐行）,✓,hold 率：0 即无抽水；⛔ 经济参照点本应为理论庄家优势，然 house_edge 全 NULL（F-22~25 阻断），暂以 0 代之并标明,hold
B_online_base.csv,economic_value,,原生（逐行）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
