类,判据列,声明源表,方向,尾部口径,尾部行数,占比,可信度,拒出理由,valid_bet_尾部,valid_bet_占全表,profit_尾部,profit_占全表,stake_尾部,stake_占全表,尾部hold率,全表hold率,hold倍数
T-09,新增会员质量,S03_agent_score.csv,low,—,,,INVALID,⛔ INVALID · 粒度 b.lv3 —— CROSS JOIN x_agg 笛卡尔广播，值不相干，勿用,,,,,,,,,
T-09,下线留存,S03_agent_score.csv,low,—,,,INVALID,⛔ INVALID · 粒度 b.lv3 —— CROSS JOIN x_agg 笛卡尔广播，值不相干，勿用,,,,,,,,,
T-09,真实流水,S03_agent_score.csv,—,—,,,INVALID,⛔ INVALID · 粒度 b.lv3 —— CROSS JOIN x_agg 笛卡尔广播，值不相干，勿用,,,,,,,,,
T-09,member_per_chain,C01_ip_chain.csv,high,≥P90,681,0.1009,OK,,54006296.43,0.1525,1499972.76,0.1664,59847148.31,0.1518,0.027774,0.025462,1.091
T-11,bet_ip,I_ip_player.csv,—,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 b.bet_ip × b.member_id —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-11,ip_order_share,I_ip_player.csv,high,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 b.bet_ip × b.member_id —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-11,n_orders_ip,I_ip_player.csv,high,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 b.bet_ip × b.member_id —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-11,jaccard,R02_same_table.csv,high,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 uid1 × uid2 × n_same_o —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-11,member_per_chain,C01_ip_chain.csv,high,≥P90,681,0.1009,OK,,54006296.43,0.1525,1499972.76,0.1664,59847148.31,0.1518,0.027774,0.025462,1.091
T-12,stake_cv,K01_risk_feature_matrix.csv,low,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 member_id × is_seed × —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-12,side_entropy,K01_risk_feature_matrix.csv,low,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 member_id × is_seed × —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-12,progress,X_combo.csv,—,—,,,INVALID,⛔ INVALID · 粒度 1 × 2 —— CROSS JOIN x_agg 笛卡尔广播，值不相干，勿用,,,,,,,,,
T-13,night_share,K01_risk_feature_matrix.csv,high,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 member_id × is_seed × —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-13,bet_hour,K01_risk_feature_matrix.csv,—,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 member_id × is_seed × —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-15,生命周期阶段,S01_player_score.csv,—,≥P90,72357,0.1,OK,,8464687504.38,0.6995,145675854.91,0.6448,9399005269.59,0.6995,0.01721,0.01867,0.922
T-15,span_days,S01_player_score.csv,—,≥P90,72956,0.1008,OK,,8316343046.77,0.6872,146252641.93,0.6473,9229880962.3,0.6869,0.017586,0.01867,0.942
T-15,活跃稳定,S05_member_month_panel.csv,jump,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 b.member_id × DATE_TRU —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-15,流水贡献,S05_member_month_panel.csv,jump,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 b.member_id × DATE_TRU —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
T-15,n_ip,S05_member_month_panel.csv,jump,—,,,WRONG_GRAIN,⛔ WRONG_GRAIN · 粒度 b.member_id × DATE_TRU —— e 侧按上层粒度连接，金额于多行重复；作实体金额即扇出膨胀，仅可作背景,,,,,,,,,
