scope,key,field,v1_4_0,v1_5_0,v1_5_0_role,change
criterion,T-06/n_member_eff,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-06/n_member_raw,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-06/share_p90,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-06/ip_order_share,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-07/索提诺稳定性,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-07/投注产品结构熵,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
criterion,T-07/win_rate_all,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-07/stake_p90_p50,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-08/reb_k,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-08/comm_k,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-08/rebate_rate_bkt,direction,bucket,(empty),BUCKET,ROLE_SPLIT_OUT
criterion,T-08/退水消耗比,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-08/退水支出,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-09/新增会员质量,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
criterion,T-09/下线留存,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
criterion,T-09/真实流水,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-09/member_per_chain,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-10/resid_identity,direction,must_be_zero,(empty),IDENTITY,ROLE_SPLIT_OUT
criterion,T-11/bet_ip,direction,join,(empty),JOIN_KEY,ROLE_SPLIT_OUT
criterion,T-11/ip_order_share,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-11/n_orders_ip,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-11/jaccard,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-11/member_per_chain,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-11/注册时点邻近度,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
criterion,T-12/stake_cv,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
criterion,T-12/side_entropy,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
criterion,T-12/progress,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-12/下注时点延迟方差,direction,low,low,STAT_DIRECTIONAL,UNCHANGED
criterion,T-13/night_share,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-13/bet_hour,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-14/注额贴顶率,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-14/贴顶后回撤,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-14/limit_change_time,direction,join,(empty),JOIN_KEY,ROLE_SPLIT_OUT
criterion,T-15/silent_days,direction,high,high,STAT_DIRECTIONAL,UNCHANGED
criterion,T-15/生命周期阶段,direction,state,(empty),STATE,ROLE_SPLIT_OUT
criterion,T-15/span_days,direction,ref,(empty),REFERENCE,ROLE_SPLIT_OUT
criterion,T-15/活跃稳定,direction,jump,jump,STAT_DIRECTIONAL,UNCHANGED
criterion,T-15/流水贡献,direction,jump,jump,STAT_DIRECTIONAL,UNCHANGED
criterion,T-15/n_ip,direction,jump,jump,STAT_DIRECTIONAL,UNCHANGED
type_scalar,T-03,ranking,YAML_ONLY,CSV+YAML,(n/a),UPLOADED_TO_CSV
type_scalar,T-03,scoring,YAML_ONLY,CSV+YAML,(n/a),UPLOADED_TO_CSV
type_scalar,T-03,trigger,YAML_ONLY,CSV+YAML,(n/a),UPLOADED_TO_CSV
type_scalar,T-03,enforcement,YAML_ONLY,CSV+YAML,(n/a),UPLOADED_TO_CSV
type_scalar,T-10,admit_to_control,YAML_ONLY,CSV+YAML,(n/a),UPLOADED_TO_CSV
type_scalar,T-10,identity_formula,YAML_ONLY,CSV+YAML,(n/a),UPLOADED_TO_CSV
type_scalar,T-10,external_standard_status,YAML_ONLY,CSV+YAML,(n/a),UPLOADED_TO_CSV
type_scalar,T-10,applicability_status,YAML_ONLY,CSV+YAML,(n/a),UPLOADED_TO_CSV
