源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天,sub_id,site,sid,this_login,last_login,ip,info,来源库,来源表,ODS表名,同步时间
8791dd6302cbe8cd557209ff026d8e08,2024-01-20,10492,0,294011I7C30020A168S514,2024-01-20T14:06:41Z,2024-01-20 14:06:11,103.121.188.213,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
5ca41a86596a5ed567d15af0be224952,2024-03-30,10456,0,65401411B1F10015A168S6,2024-03-30T19:12:49Z,__STARROCKS_NULL__,115.146.230.132,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
097fdff1eefae7180f5ec716a83dd3a3,2024-10-30,9918,0,819910F1A3F9C9H57643A168S54,2024-10-30T17:05:42Z,2023-12-01 15:11:25,35.240.152.219,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
ae816a80e4c1c56caa2eb4e1819cbb2f,2024-10-30,9919,0,919910A2F4H3B8A97568A168S54,2024-10-30T17:01:16Z,2023-12-01 15:06:19,35.240.152.219,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
98785ca89cfbbe933921bfe68a94553b,2024-12-23,10897,0,79801411C1I5I9C12402A168S6,2024-12-23T13:59:48Z,2024-12-02 13:58:13,77.111.247.232,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
5779e947caedd3537d114bf8b0702a15,2025-05-19,11713,0,3171111I7E5C3C51998A168S45,2025-05-19T17:35:24Z,2025-03-17 12:49:02,182.153.38.130,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
c5658c711ba9170700fc7d3ee3f63e40,2020-07-07,3234,0,4323510C3F1C10052A168S5,2020-07-07T14:39:59Z,2020-05-04 13:49:08,42.77.255.21,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
0cd6a652ed1f7811192db1f700c8f0e7,2020-07-23,3357,0,753310A3C1H60178A168S54,2020-07-23T18:51:46Z,2020-07-22 12:07:59,119.92.12.185,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
c42f891cebbc81aa59f8f183243ac2b9,2020-07-23,4110,0,0110E2A4H10277A168S5412,2020-07-23T20:46:25Z,2020-07-23 20:45:23,103.73.164.234,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
de3c1a733c9c51de130bc7ae775fd930,2020-07-23,4118,0,81145S10G2B2I80501A1686,2020-07-23T20:54:56Z,2020-07-23 20:54:10,103.73.164.234,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
13e36f06c66134ad65f532e90d898545,2020-08-23,3935,0,5393210E5I3C80055A168S5,2020-08-23T21:44:21Z,2020-07-31 19:08:17,123.240.238.160,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
29539ed932d32f1c56324cded92c07c2,2020-08-23,3161,0,16135S810I8D6A40077A167,2020-08-23T00:06:17Z,2020-08-23 00:05:37,103.73.165.221,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
81374713d991042a0e18865aa693cc24,2020-11-15,5126,0,62154S10C4F8C20119A1686,2020-11-15T09:05:07Z,2020-11-15 08:51:53,1.162.135.191,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
2647c1dba23bc0e0f9cdf75339e120d2,2021-01-07,1824,0,428110A7B8A20661A168S54,2021-01-07T11:33:08Z,2020-12-29 13:42:11,103.12.89.170,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
9ceee7501ba30946fab8728aec06a9f5,2021-01-07,5334,0,43354S10B4E9H60238A1686,2021-01-07T15:35:29Z,2021-01-04 16:13:57,116.241.34.58,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
362c99307cdc3f2d8b410652386a9dd1,2021-03-29,5899,0,9910A8H3F10645A168S5582,2021-03-29T15:23:06Z,2021-03-22 16:15:45,123.195.200.143,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
5bcf8dd060e5ea0bff484b4a4127cb47,2021-03-29,5907,0,70954S10E1D1G10436A1686,2021-03-29T15:23:21Z,2021-03-22 16:16:08,123.195.200.143,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
a70dab11c90d06b809d0be230731762a,2021-03-29,6026,0,6210A5D8C20439A168S4602,2021-03-29T00:01:04Z,2021-03-28 23:42:57,111.90.141.223,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
034e2db715b4e796a5e72861ce06963a,2021-08-24,6550,0,055610A3H5F60170A168S54,2021-08-24T05:01:47Z,2021-08-23 13:48:36,218.35.198.85,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
d240cb4a3e3d2ed5250ac2e1480422f0,2021-12-15,7246,0,64275S10I6F5H40314A1686,2021-12-15T04:36:58Z,__STARROCKS_NULL__,134.159.85.50,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
933670f1ac8ba969f32989c312faba75,2022-01-31,4861,0,16845S10G7A7I30054A1686,2022-01-31T20:22:22Z,2022-01-08 16:40:37,184.22.96.120,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
7283518d47a05a09d33779a17adf1707,2022-04-19,1761,0,16715S810F5D8G20065A167,2022-04-19T17:18:28Z,2021-11-03 13:00:49,43.230.9.234,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
54eea69746513c0b90bbe6227b6f46c3,2022-05-13,7419,0,914710G7G1H50063A168S54,2022-05-13T00:22:37Z,2022-02-23 12:36:25,213.255.201.68,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
95cc7ef498e141173576365264fc5fba,2022-06-26,8163,0,36185S10F3G7B50297A1686,2022-06-26T18:33:40Z,2022-05-03 23:12:03,3.114.20.62,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
3be0214185d6177a9aa6adea5a720b09,2025-08-08,4031,0,1304510F5F6G7I2H30075A168S5,2025-08-08T09:02:24Z,2025-06-22 08:04:44,78.142.245.100,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
dd1970fb03877a235d530476eb727dab,2025-11-09,9896,0,6910B2B2E6B4H10113A168S4982,2025-11-09T03:56:14Z,2025-04-02 14:34:25,202.43.226.48,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
4cdcf18ba72a7b28dc405b992f8cddcd,2026-01-02,9107,0,70110C3D5D3G3H50857A168S493,2026-01-02T02:06:38Z,2025-10-04 23:38:44,103.55.200.114,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
cfa258af990f9cb188d36ddb5c6eb650,2026-03-25,6120,0,02165S10A3H9H3C8E60551A1686,2026-03-25T10:48:52Z,2026-02-23 21:11:23,35.220.201.84,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
282bb8a7afdb969e5ac8e1848f741d9a,2026-05-14,9846,0,6410F7E2D4G1A66945A168S5982,2026-05-14T23:26:04Z,2026-05-14 23:26:04,124.197.22.129,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
89f692589fe6ce8f82cf75828b0821d3,2026-05-14,11157,0,75111511A8C4D8F57139A168S6,2026-05-14T07:23:02Z,2026-04-15 09:37:13,165.22.221.146,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
95323660ed2124450caaac2c46b5ed90,2026-05-14,3801,0,1010A6A7A3I4A76156A168S5382,2026-05-14T20:46:43Z,2026-05-08 12:33:03,159.89.192.141,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
b53da6bd516b0758856e71a272601ac5,2026-05-14,12725,0,527211H2D2E7I16188A168S514,2026-05-14T09:12:17Z,2026-05-14 09:12:17,18.179.243.8,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
ffd52f3c7e12435a724a8f30fddadd9c,2018-05-28,373,0,"",2018-05-28T15:24:12Z,2018-05-28 15:22:15,106.185.25.7,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
77ae1a5da3b68dc65a9d1648242a29a7,2022-08-06,8209,0,90210F8C5F20216A168S583,2022-08-06T23:13:05Z,2022-07-05 20:25:49,103.119.130.102,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
d062f3e278a1fbba2303ff5a22e8c75e,2022-10-17,9296,0,692910D7F5B20290A168S54,2022-10-17T10:33:36Z,__STARROCKS_NULL__,13.114.83.86,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
97c8dd44858d3568fdf9537c4b8743b2,2022-12-21,9622,0,22694S10G1B8H40544A1686,2022-12-21T17:59:19Z,2022-12-21 17:56:28,58.177.74.85,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
afb992000fcf79ef7a53fffde9c8e044,2022-12-21,9614,0,4169410B3G5D60082A168S5,2022-12-21T02:20:27Z,2022-12-20 19:01:41,27.53.225.182,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
4801441f041958afaca324c43c40787b,2023-08-26,10453,0,35401411E6E10006A168S6,2023-08-26T10:29:56Z,__STARROCKS_NULL__,103.21.182.145,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
e3bc4e7f243ebc05d66a0568a3331966,2023-12-14,6307,0,7010I6E1B50337A168S5632,2023-12-14T16:51:11Z,2021-05-20 14:04:04,112.199.68.14,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
5a44a53b7d26bb1e54c05222f186dcfb,2024-08-07,9215,0,512910H5G5H4B6H42364A168S54,2024-08-07T03:10:11Z,2023-10-06 14:02:50,61.28.189.223,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
b56522cb95aa89c207e129509362cce3,2024-10-08,7575,0,57510A8C3D6B8E90264A168S473,2024-10-08T18:40:12Z,2024-09-06 14:37:31,202.66.38.193,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
0b7b998c6e3fc5b61a7573431d43feed,2025-03-26,10914,0,4190111D3B6E2B10631A168S55,2025-03-26T05:11:18Z,2024-11-09 05:19:47,23.91.101.228,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
e0f66d3186154abe76960f9e394c4621,2025-07-01,11761,0,167115S11H3H4I5I75442A1687,2025-07-01T07:09:58Z,2025-07-01 07:08:01,144.48.229.18,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
1fc8c3d03b0021478a8c9ebdcd457c67,2025-09-07,11670,0,07611411D2H8I9A21999A168S6,2025-09-07T23:19:11Z,2025-09-07 23:19:11,103.151.116.122,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
ed7ec77be8029e30e8532d41448d1c52,2026-01-07,12219,0,91211F7F3C9G20755A168S3123,2026-01-07T15:38:38Z,2026-01-07 15:38:38,124.217.189.147,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
773fc3013fec43c958724a25b7dcb360,2026-04-27,5598,0,895510H9D2B9H4E78662A168S24,2026-04-27T13:38:45Z,2026-04-27 13:38:45,115.135.30.81,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
ca751e6ab38280edada823df9cb45a93,2026-04-27,10420,0,024011D4D5E1C70064A168S414,2026-04-27T18:32:06Z,2026-04-27 18:32:05,20.41.116.67,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-20T07:05:29Z
d72a7ed33514158ae5e68ed6d80177b9,2026-04-27,5483,0,384510G3H6C3C3A81993A168S24,2026-04-27T13:40:34Z,2026-04-27 13:40:34,115.135.30.81,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
d26beb4d23d4930fba836087f83d9bcf,2026-05-13,4681,0,186410C1D6E7C9G87739A168S54,2026-05-13T06:44:41Z,2026-05-13 06:44:41,103.76.183.236,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
4f16c818875d9fcb6867c7bdc89be7eb,2019-10-17,1085,0,"",2019-10-17T17:56:23Z,2019-10-09 17:48:45,101.99.84.61,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
698d51a19d8a121ce581499d7b701668,2018-01-21,111,0,"",2018-01-21T13:10:03Z,2018-01-21 12:49:41,"111.255.115.38,",,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
b3967a0e938dc2a6340e258630febd5a,2018-06-11,344,0,"",2018-06-11T15:09:47Z,2018-06-04 18:26:25,110.159.79.236,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
cf05968255451bdefe3c5bc64d550517,2020-03-29,2461,0,16410E7A6I10242A168S323,2020-03-29T23:23:48Z,2020-03-29 15:49:30,129.204.106.8,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
e0688d13958a19e087e123148555e4b4,2020-04-12,2655,0,5510F8E5B30201A168S5262,2020-04-12T23:05:07Z,2020-04-10 12:09:25,139.194.98.23,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
4ea83d951990d8bf07a68ec3e50f9156,2020-04-29,3257,0,752310E7I8H50187A168S54,2020-04-29T09:34:19Z,2020-04-26 17:18:26,210.209.82.161,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
e56954b4f6347e897f954495eab16a88,2019-05-05,265,0,"",2019-05-05T18:42:17Z,2019-05-04 01:43:22,96.9.83.173,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
e555ebe0ce426f7f9b2bef0706315e0c,2019-11-08,692,0,"",2019-11-08T12:28:33Z,2019-11-08 12:27:55,49.156.3.62,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
0655f117444fc1911ab9c6f6b0139051,2020-05-18,3346,0,6433510F6I8C50008A168S5,2020-05-18T17:00:49Z,2020-05-18 15:32:08,61.18.43.142,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
6ad4174eba19ecb5fed17411a34ff5e6,2020-05-18,3092,0,2910I6B3C40289A168S4302,2020-05-18T16:56:39Z,2020-05-11 13:50:04,49.216.206.199,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
0e087ec55dcbe7b2d7992d6b69b519fb,2020-06-09,1822,0,22815S10E3D1H60232A1686,2020-06-09T00:02:32Z,2020-05-11 03:18:32,39.10.133.142,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
c0e8517b1fe0b5270f3f41d4b56d6118,2020-06-09,3595,0,595310A2F1C60053A168S34,2020-06-09T13:04:49Z,2020-05-20 20:06:57,120.241.33.23,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
6547884cea64550284728eb26b0947ef,2020-04-05,2437,0,73410B7B1F60490A168S523,2020-04-05T08:11:29Z,2020-04-04 08:41:04,103.138.192.42,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
7f39f8317fbdb1988ef4c628eba02591,2020-04-05,61,0,163S8618E7E6I7I22073A7,2020-04-05T20:17:03Z,2020-04-05 20:12:10,35.229.196.215,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
b337e84de8752b27eda3a12363109e80,2020-04-05,504,0,40519G4G2B10351A168S4,2020-04-05T18:15:55Z,__STARROCKS_NULL__,123.241.32.150,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
5da713a690c067105aeb2fae32403405,2020-04-17,3048,0,8410E1C8C30350A168S4302,2020-04-17T22:02:06Z,2020-04-15 17:51:53,108.61.250.163,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
3f900db2608fb3eecb3ee77ba9ef5f60,2020-07-25,3955,0,5510C1E1C30240A168S5392,2020-07-25T20:58:33Z,__STARROCKS_NULL__,3.113.125.45,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
576d026223582a390cd323bef4bad026,2020-07-25,3908,0,80910D4G6B60006A168S533,2020-07-25T06:20:08Z,__STARROCKS_NULL__,103.120.66.71,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
ba95d78a7c942571185308775a97a3a0,2020-05-24,3178,0,87133S810H3F4D40520A167,2020-05-24T20:36:46Z,2020-05-23 20:57:38,113.210.195.181,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
fb4c48608ce8825b558ccf07169a3421,2020-08-15,4069,0,9604510B3C6E10126A168S5,2020-08-15T20:19:54Z,2020-08-15 20:18:36,114.39.139.1,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
de3f712d1a02c5fb481a7a99b0da7fa3,2020-10-10,4828,0,828410A7B6G10634A168S44,2020-10-10T21:34:59Z,__STARROCKS_NULL__,39.12.73.79,,a168,age_sub_login,ods_a168_age_sub_login,2026-05-19T18:45:57Z
