column_name,presence,type_bet01,type_bet02,comment_bet01,comment_bet02,ord_bet01,ord_bet02,ord_shift,type_match,comment_match,ruling_id,ruling_verdict,evidence_grade,evidence_source,economic_path_status,admit_to_risk_decision,deliverable_class,audit_rn,batch_id,run_id,snapshot_sync_time
bet13,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); 下注金額","source_type=decimal(16,4); 下注金額",16,16,0,TYPE_SAME,COMMENT_SAME,R-13,下注额（stake）—— 金额列，varchar 存储，取用须 CAST AS BIGINT,OBSERVED,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,27,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet14,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); 退水％數","source_type=decimal(16,4); 派彩",17,17,0,TYPE_SAME,COMMENT_DIVERGENT,R-14,★ 错位根因所在 —— 自本列起 bet01 与 bet02 疑整体位移一格，凡本列之后者语义须逐列复核,INFERRED,#Z04_name_collision · 本件 ord_shift 现算,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,28,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet15,BOTH,varchar(65533),varchar(65533),source_type=int(11); LV1ID,"source_type=decimal(16,4); 退水％數",18,18,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,29,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet16,BOTH,varchar(65533),varchar(65533),source_type=int(11); LV2ID,"source_type=decimal(16,4); 退水金額",19,19,0,TYPE_SAME,COMMENT_DIVERGENT,R-16,退水金额 —— H16 恒等式 bet17 = bet14 − bet13 + bet16 实测 100% 成立,OBSERVED,#P01E_identity_test · #P01A_crosstab,CANDIDATE,FALSE,DICTIONARY_SEMANTIC_RULING,30,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet17,BOTH,varchar(65533),varchar(65533),source_type=int(11); LV3ID,"source_type=decimal(16,4); 結果",20,20,0,TYPE_SAME,COMMENT_DIVERGENT,R-17,结算后额 —— H16 之左式；H41 以 bet41 代 bet16 仅 7.60% 命中，足证 bet16 与 bet41 语义相异,OBSERVED,#P01E_identity_test,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,31,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet18,BOTH,varchar(65533),varchar(65533),source_type=int(11); LV4ID,source_type=int(11); LV1ID,21,21,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,32,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet19,BOTH,varchar(65533),varchar(65533),source_type=int(11); LV5ID,source_type=int(11); LV2ID,22,22,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,33,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet20,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV1佔成",source_type=int(11); LV3ID,23,23,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,34,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet21,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV2佔成",source_type=int(11); LV4ID,24,24,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,35,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet22,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV3佔成",source_type=int(11); LV5ID,25,25,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,36,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet23,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV4佔成","source_type=decimal(16,4); LV1佔成",26,26,0,TYPE_SAME,COMMENT_DIVERGENT,R-23,★ 代理第一级保留率（非占成份额）—— 实测 95~96%，其补数 4~5% 方为成本率；五级之和近 480% 属正常，不构成矛盾,INFERRED,#S03_agent_score · #DICT_01b_roundkey_card · #QSB_02a_lowcard_fields,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,37,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet24,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV5佔成","source_type=decimal(16,4); LV2佔成",27,27,0,TYPE_SAME,COMMENT_DIVERGENT,R-24,代理第二级保留率 —— 同 bet23 之读法,INFERRED,#S03_agent_score · #QSB_02a_lowcard_fields,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,38,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet25,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV1退水%數","source_type=decimal(16,4); LV3佔成",28,28,0,TYPE_SAME,COMMENT_DIVERGENT,R-25,代理第三级保留率 —— 同 bet23 之读法,INFERRED,#S03_agent_score · #QSB_02a_lowcard_fields,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,39,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet26,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV2退水%數","source_type=decimal(16,4); LV4佔成",29,29,0,TYPE_SAME,COMMENT_DIVERGENT,R-26,代理第四级保留率 —— 同 bet23 之读法,INFERRED,#S03_agent_score · #QSB_02a_lowcard_fields,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,40,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet27,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV3退水%數","source_type=decimal(16,4); LV5佔成",30,30,0,TYPE_SAME,COMMENT_DIVERGENT,R-27,代理第五级保留率 —— 同 bet23 之读法,INFERRED,#S03_agent_score,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,41,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet28,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV4退水%數","source_type=decimal(16,4); LV1退水%數",31,31,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,42,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet29,BOTH,varchar(65533),varchar(65533),"source_type=decimal(16,4); LV5退水%數","source_type=decimal(16,4); LV2退水%數",32,32,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,43,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet30,BOTH,varchar(65533),varchar(65533),"source_type=enum(''Y'',''N''); 取消單","source_type=decimal(16,4); LV3退水%數",33,33,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,44,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet31,BOTH,varchar(65533),varchar(65533),source_type=int(11); 桌子編號(Table ID),"source_type=decimal(16,4); LV4退水%數",34,34,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,45,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
bet32,BOTH,varchar(65533),varchar(65533),source_type=int(11); 房間編號(Room ID),"source_type=decimal(16,4); LV5退水%數",35,35,0,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,46,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
betwalletid,BOTH,varchar(1048576),varchar(1048576),source_type=text; 下注單一錢包用,source_type=text; 下注單一錢包用,36,45,9,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,47,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
gametype,BOTH,varchar(65533),varchar(65533),source_type=int(11); 1:網投、2:電投,source_type=int(11); 1:網投、2:電投、3 電投網投模式、4 電投電投模式,37,48,11,TYPE_SAME,COMMENT_DIVERGENT,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,48,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
commission,BOTH,varchar(65533),varchar(65533),"source_type=int(11); 0.一般,1,免傭","source_type=int(11); 0.一般,1,免傭",38,49,11,TYPE_SAME,COMMENT_SAME,R-COM,佣金旗标 —— 相异取值八个；语义 UNKNOWN（F-47 未结），凡涉庄佣之推算一律标 CONDITIONAL,UNKNOWN,#QSB_02a_lowcard_fields（仅得基数八，语义未结）,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,49,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
category,BOTH,varchar(65533),varchar(65533),"source_type=int(11); 1.一般,2.小費","source_type=int(11); 1.一般,2.小費",39,50,11,TYPE_SAME,COMMENT_SAME,R-CAT,结算单类别 —— 1 为常态（输赢两向），2 为单向扣款（派彩恒零），二者不可混算,OBSERVED,#QSB_01a_category_census,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,50,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
eid,BOTH,varchar(65533),varchar(65533),source_type=int(11); 荷官,source_type=int(11); 荷官,40,51,11,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,51,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
serid,BOTH,varchar(65533),varchar(65533),source_type=int(11); 服務編號,source_type=int(11); 服務編號,41,52,11,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,52,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ip,BOTH,varchar(65533),varchar(65533),source_type=varchar(15); 下注IP,source_type=varchar(15); 下注IP,42,53,11,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,53,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
partnerBetId,BET01_ONLY,varchar(65533),,source_type=varchar(50); 第三方注單編號,,43,,,NOT_COMPARABLE,NOT_COMPARABLE,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,54,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
gameId,BET01_ONLY,varchar(65533),,source_type=varchar(20); 第三方遊戲代碼,,44,,,NOT_COMPARABLE,NOT_COMPARABLE,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,55,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
updatetime,BOTH,varchar(65533),varchar(65533),source_type=datetime; 更新時間,source_type=datetime; 更新時間,45,54,9,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,56,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
source_db,BOTH,varchar(64),varchar(64),来源库,来源库,46,55,9,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,57,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
source_table,BOTH,varchar(128),varchar(128),来源表,来源表,47,56,9,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,58,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
ods_table_name,BOTH,varchar(256),varchar(256),ODS表名,ODS表名,48,57,9,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,59,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
sync_time,BOTH,datetime,datetime,同步时间,同步时间,49,58,9,TYPE_SAME,COMMENT_SAME,R-UNRULED,UNRULED —— 尚未入册裁决，禁以推断填充（自家铁律：NULL ≠ 0，UNKNOWN ≠ 已知）,UNKNOWN,,NOT_ESTABLISHED,FALSE,DICTIONARY_SEMANTIC_RULING,60,1,A168_HF9F_20260827_0900,2026-08-27 09:00:00
