件号,CSV名称,六层族别,血统判定,类别,理由／用途
104,VB_41c1_964_detail.csv,x_agg,非血统 · 排除,账目对账,964 明细
105,VB_41c2_concentration.csv,x_win(D-14 族),非血统 · 排除,账目对账,集中度
106,VB_41c2_concentration_v2.csv,x_win(D-14 族),非血统 · 排除,账目对账,集中度 v2
107,V_ipmatch.csv,x_agg,血统 · 可入册,,
108,V_recon.csv,x_win(D-14 族),非血统 · 排除,账目对账,V_recon 账务对账 —— 属内控轴（T-10），不入会员赏罚
109,V_table_counts.csv,x_win(D-14 族),非血统 · 排除,账目对账,表计数核对
110,X_combo.csv,x_win(D-14 族),血统 · 可入册,,
111,Z01_table_inventory.csv,x_win(D-14 族),非血统 · 排除,元数据,表清单
112,Z02_excluded_tables.csv,x_win(D-14 族),非血统 · 排除,元数据,排除表清单
113,Z03_column_dictionary.csv,x_win(D-14 族),非血统 · 排除,元数据,列字典
114,Z04_name_collision.csv,x_win(D-14 族),非血统 · 排除,元数据,同名异义
115,Z05_missing_typehint.csv,x_win(D-14 族),非血统 · 排除,元数据,缺型别提示
116,Z06_generated_probe_sql.csv,x_win(D-14 族),非血统 · 排除,探针,生成式探针 SQL
117,Z07_probe_bet02.csv,x_win(D-14 族),非血统 · 排除,探针,bet02 探针
118,Z08_roundkey_integrity.csv,x_win(D-14 族),非血统 · 排除,探针,round_key 完整性
119,Z09_time_axis_recon.csv,x_win(D-14 族),非血统 · 排除,探针,时间轴对账
120,Z11_sentinel_impact.csv,x_win(D-14 族),非血统 · 排除,探针,哨兵值影响
121,Z14_zero_month_diagnosis.csv,x_agg,非血统 · 排除,探针,零月诊断
122,_P12b-pre.csv,x_agg,非血统 · 排除,探针,_P12b 前置
123,_PH0_1b_table_inventory.csv,x_win(D-14 族),非血统 · 排除,前置盘点,表清单
124,_PH0_2b_column_inventory.csv,x_win(D-14 族),非血统 · 排除,前置盘点,列清单
125,_PH0_3_lmc_category.csv,x_win(D-14 族),非血统 · 排除,前置盘点,lmc 类别
126,_PH0_4L1_member_columns.csv,x_win(D-14 族),非血统 · 排除,前置盘点,会员列
127,_PH0_4b_rg_keyword.csv,x_win(D-14 族),非血统 · 排除,前置盘点,RG 关键词
128,_PH0_4w2_balance_points.csv,x_win(D-14 族),非血统 · 排除,前置盘点,余额点
129,_PH0_6b_member_daily.csv,x_agg,非血统 · 排除,前置盘点,会员日表
