序号,CSV名称,实体,net_margin,risk_usage,声明分区,实际谓词,六层段列数,逾基准列数,源维度(原列),建议层
21,EV02_member_disposal.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,event_id|event_date|event_time|type_code|action|operator|event_type|val_before|val_after|summary|is_batch|stmt_len,III 先修粒度
22,I_ip_agg.csv,IP,OK,SCREENING,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,window_id|bet_ip|n_member_raw|n_member_eff|n_prof_A|n_prof_B|n_prof_C|n_orders|n_rounds|stake|net_pnl|game_pnl|share_p50|share_p90,I 可采
23,I_ip_player.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,129,6,b.bet_ip|b.member_id|lv3|lv1|lv2|lv4|lv5|chain_key|n_chain_key|n_orders_ip|n_rounds_ip|stake_ip|game_pnl_ip|rebate_ip,III 先修粒度
24,K01_risk_feature_matrix.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,alarm（s.x_rec = 1）,b.dt>=2026-07-08,123,0,f.member_id|is_seed|f.n_rounds|f.n_days|f.n_tables|f.n_ip|f.n_dealer|side_entropy|f.stake_cv|f.stake_p90_p50|f.hedge_rate|f.rebate_dep|f.night_share|f.roi_game|f.validbet,III 先修粒度
25,K01b_seed_goldip.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|seed_src,III 先修粒度
26,K01b_seed_manual.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,alarm（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|seed_src,III 先修粒度
27,K01c_seed_dated.csv,IP,WRONG_GRAIN,SCREENING,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,seed_id|seed_ip|creator|addtime|add_date|remarks,II 描述
28,L_label_dist.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,alarm（s.x_rec = 1）,b.dt>=2026-07-08,123,0,risk|orders|n_rows|n_member|first_dt|last_dt,III 先修粒度
29,P01A_crosstab.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,n_rows|bet16_null|bet16_zero|bet16_nonzero|bet41_null|bet41_zero|bet41_nonzero|equal_n|unequal_n|both_zero_n|b16zero_b41pos_n|both_pos_n|b16pos_b41zero_n,III 先修粒度
30,P01B_diff_ratio.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,n|diff_min|diff_p50|diff_p90|diff_p99|diff_max|ratio_min|ratio_p01|ratio_p50|ratio_p99|ratio_max,III 先修粒度
31,P01C_split_by_dim.csv,产品,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,ym|bet09|commission|bet10|n|equal_n|unequal_n|b16_nonzero_n|b41_nonzero_n|avg_b16|avg_b41|avg_diff|p50_b16|p50_b41,III 先修粒度
32,P01D_vs_validbet.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,n|comparable_n|plausible_n|r41_p01|r41_p50|r41_p90|r41_p99|r16_p50|r16_p99,III 先修粒度
33,P01E_identity_test.csv,风控专员,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,hypothesis|n|exact_match_n|exact_match_rate|abs_err_p50|abs_err_p95|abs_err_p99|abs_err_max,III 先修粒度
34,P02A_lmc_samples.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,类别|取样端|異動時間|实体ID|层级|操作者|操作者LV|操作IP|内容原文,III 先修粒度
35,P02B_changestatus_patterns.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,内容前40字|n|涉实体数|最早|最晚|其中层级7数,III 先修粒度
36,P02C_key_check.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,层级|日志行数|去重实体数|实体ID为0之脏行|命中注单会员数|命中去重实体数|最早|最晚,III 先修粒度
37,P02D_events_in_window.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,类别|层级|窗口内行数|涉实体数,III 先修粒度
38,P0C02_标签口径.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,产品口径|正例观测数_会员日|正例会员数_去重|覆盖日数|首个正例日|末个正例日,III 先修粒度
39,P0C03_标记次数分布.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,标记次数|会员数|累计会员数,III 先修粒度
40,P0C04_同日泄漏检验.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,d0.mem|d0.mark_day|标记日_注单数|标记日_洗码量|前30日均_注单数|前30日均_洗码量|前30日活跃日数,III 先修粒度
41,P0C05_标记时点定位.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,d0.mem|d0.mark_day|life.首投日|life.末投日|life.活跃日数|标记距首投_日|末投距标记_日|时点性质,III 先修粒度
42,P0C06_LabelB骨架.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hedge（h.n_side >= 2）,hedge（h.n_side >= 2）,123,0,a.mem|a.anchor_day|特征窗起|特征窗止|结果窗起|结果窗止|label_b_未来14日被标记|label_a_当日被标记,III 先修粒度
43,P0C09_安慰剂检验.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,a.mem|参照日|参照日_注单数|参照日_洗码量|前30日均_注单数|前30日均_洗码量|前30日活跃日数,III 先修粒度
44,P11_阿泽尾段投注总帐.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,"late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）","late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）",123,0,b.scope_def|b.n_orders|n_orders_pct|b.n_members|n_members_pct|b.n_lv1|b.n_lv2|b.n_lv3|b.n_lv4|b.n_lv5|stake_sum|stake_pct|validbet_sum|validbet_pct|ggr_sum|ggr_pct|rebate16_sum|rebate16_pct|rebate41_sum|ngr_by16|ngr_by16_pct,III 先修粒度
45,P11_阿泽尾段投注模型会员名单.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,"late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）","late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）",123,0,player_id|total_orders|late_orders|late_ratio|win_orders|win_rate|valid_bet|profit|roi,III 先修粒度
46,P11_雷欧尾段投注总帐.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,"late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）","late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）",123,0,b.scope_def|b.n_orders|n_orders_pct|b.n_members|n_members_pct|b.n_lv1|b.n_lv2|b.n_lv3|b.n_lv4|b.n_lv5|stake_sum|stake_pct|validbet_sum|validbet_pct|ggr_sum|ggr_pct|rebate16_sum|rebate16_pct|rebate41_sum|ngr_by16|ngr_by16_pct,III 先修粒度
47,P12a_platform_daily.csv,日期,OK,REFERENCE,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,dt|n_orders|n_members|stake_sum|validbet_sum|ggr_sum|late_stake_share|stake_ramp_day|hold_pct,II 描述
48,P12b_member_events.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,m.uid|m.first_dt|m.last_dt|m.active_days|span_days|m.n_orders|f.mark_dt|censor_flag,III 先修粒度
49,P12c_member_daily_pnl.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,g.uid|g.dt|day_orders|day_stake|day_vb|day_pnl,III 先修粒度
50,P13_personal_entry.csv,会员,OK,PRIMARY,"late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）","late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）",123,0,uid|n_shoes|n_orders|entry_pos_p50|exit_pos_p50|bet_density_p50|entry_round_avg,I 可采
51,PH0_8r1_rg_case.csv,日期,WRONG_GRAIN,NOT_FOR_DECISION,pre_rg（s.x_rec = 1）,b.dt>=2026-07-08,123,0,dt_day|category|target_id|operator_id|change_time|operator_ip|content_full|sql_full,III 先修粒度
52,PH0_8r2_rg_crosstable.csv,桌台,INVALID,NOT_FOR_DECISION,pre_rg（s.x_rec = 1）,b.dt>=2026-07-08,123,0,src|n_rows|n_rg_true|n_biz_control|n_nonblank,III 先修粒度
53,PI01_treatment_delta_member.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|treat_time|treat_field|n_treat_events|a.n_pre|a.n_post|a.d_pre|a.d_post|stake_pre|stake_post|d_stake|d_validbet|d_revenue|hold_pre_pct|hold_post_pct|d_hold_pct|roi_pre|roi_post|d_roi|d_bets_per_day|verdict_exposure,III 先修粒度
54,PI02_treatment_delta_platform.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,cohort|phase|n_members|n_bets|n_dates|sum_stake|sum_validbet|sum_revenue|hold_pct|roi|revenue_per_member|share_of_stake_pct|share_of_revenue_pct,III 先修粒度
55,PI03_reinvest_loop.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,loss（s.x_net < 0）,loss（s.x_net < 0）,123,0,prev_outcome|n_pairs|n_members|n_negative_gap|gap_p10|gap_p50|gap_p90|gap_avg|ratio_p50|ratio_p90|ratio_avg|n_double_up|pct_double_up,III 先修粒度
56,PI04_member_5d_profile.csv,会员,OK,PRIMARY,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|n_bets|n_active_days|bets_per_day|n_bet_types|sum_stake|sum_validbet|sum_revenue|hold_pct|roi|n_tables|n_comm_mode|first_date|last_date|span_days|night_share_pct|avg_latency_sec|share_stake_pct|share_revenue_pct|verdict_observability,I 可采
57,P_player_month.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|ym|n_rounds|n_days|valid_bet|game_pnl|rebate|net_pnl|roi,III 先修粒度
58,QSB_01a_category_census.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,category_value|n_rows|pct_of_total|n_members|n_dates|min_dt|max_dt|n_bet09|n_b14_null|n_b14_zero|n_b14_pos|n_pnl_zero|n_pnl_house_win|n_pnl_player_win|n_vb_zero|n_b41_zero|stake_sum|payout_sum|validbet_sum|n_rebet_flag|n_commission|shape_hint,III 先修粒度
59,QSB_01c_cat1_contamination.csv,产品,OK,SUPPORT,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,bet09_value|n_rows|n_b14_null|n_b13_null|n_b13_zero|n_pnl_zero_stake_pos|n_exact_refund|pct_pnl_zero|stake_sum|verdict_contamination,I 可采
60,QSB_02a_lowcard_fields.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,scope|n_rows|nd_bet04|nd_bet06|nd_bet07|nd_bet10|nd_bet23|nd_bet24|nd_bet25|nd_bet26|nd_bet28|nd_bet29|nd_bet30|nd_bet31|nd_bet40|nd_bet38|nd_category|nd_commission,III 先修粒度
61,QSB_02b2_lowcard_five_gates.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,field_name|field_value|n_rows|pct_of_field|n_null|n_bet09|n_dates|min_dt|max_dt|n_pnl_zero|n_pnl_pos|n_pnl_neg|pct_pnl_zero|pct_pnl_pos|pct_pnl_neg|n_exact_refund|n_payout_zero|payout_over_stake|verdict_state,III 先修粒度
62,QSB_02b_state_cross.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,field_name|field_value|n_rows|n_pnl_zero|n_pnl_pos|n_pnl_neg|n_payout_zero|n_bet09|verdict_align,III 先修粒度
63,QSB_02c_push_by_family.csv,会员,INVALID,NOT_FOR_DECISION,freecomm（s.x_freecomm = 1）,freecomm（s.x_freecomm = 1）,123,0,bet09_family|n_bet09_in_family|n_rows|n_pnl_zero|pct_pnl_zero|n_exact_refund|n_payout_zero_stake_pos|pct_player_win|mu0_pct|verdict_family,III 先修粒度
64,R01_late_shoe.csv,会员,OK,PRIMARY,"late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）","late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）",123,0,uid|n_orders_all|n_orders_late|late_def|late_share|shoe_pos_p50|stake_late_avg|stake_early_avg|stake_ramp|roi_late|roi_early|stake_late|game_pnl_late|stake_all|game_pnl_all,I 可采
65,R01_late_shoe_w2.csv,会员,OK,PRIMARY,"late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）","late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）",123,0,uid|n_orders_all|n_orders_late|late_def|late_share|shoe_pos_p50|stake_late_avg|stake_early_avg|stake_ramp|roi_late|roi_early|stake_late|game_pnl_late|stake_all|game_pnl_all,I 可采
66,R01anm_shoe_anomaly.csv,桌台,WRONG_GRAIN,NOT_FOR_DECISION,"late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）","late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）",123,0,s.dt|s.table_id|s.shoe_id|s.max_round|s.min_round|s.rounds_with_bet|s.gap|s.n_bettors|s.n_bets|anomaly_type|hi_cut_used,III 先修粒度
67,R01chk_shoe_len_by_table.csv,桌台,WRONG_GRAIN,NOT_FOR_DECISION,"late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）","late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）",123,0,z.table_id|table_flag|z.n_shoes|o.n_shoes_old|n_shoes_delta|avg_max_round|avg_max_round_old|avg_maxround_inflation|sd_max_round|z.min_max_round|z.ceiling_observed|o.ceiling_old|p50_max_round|p90_max_round|p99_max_round|collision_flag|z.n_stub_shoes|avg_gap|avg_n_bettors|avg_bets_per_round|round_at_pos080|corr_len_density|corr_density_lo95|corr_density_hi95|corr_density_verdict|corr_len_bettors|corr_bettors_lo95|corr_bettors_hi95,III 先修粒度
68,R01inv_shoe_len_census.csv,桌台,INVALID,NOT_FOR_DECISION,"late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）","late（s.x_rno*1.0/NULLIF(p.max_rno,0) >= 0.80）",123,0,n_tables|n_shoes|mean_len|sd_len|p0|p01|p25|p50|p75|p90|p99|p100|n_len_ge_70|n_len_le_5|pct_with_gap|avg_gap|corr_cross_table|round_at_080_shortest|round_at_080_longest,III 先修粒度
69,R02_same_table.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,same（c.n_seat >= 2）,same（c.n_seat >= 2）,123,0,p.uid1|p.uid2|n_same_orders|rounds_1|rounds_2|same_rate|jaccard|lift|e.exp_same|p.n_tables|p.first_day|p.last_day,III 先修粒度
70,R03_player_dealer.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,uid|pdw.dealer_id|pdw.is_sentinel_dealer|stake_amount|profit_amount|pdw.net_pnl|win_rate|n_related_orders|pdw.n_rounds_eff|pdw.p_base_mix_w|pdw.p_base_mix_unw|total_bet_amount|n_bets|z_score_w|z_score_unw|z_score|delta_p|delta_z|pdw.net_pnl_all|pdw.game_pnl_all|pdw.stake_all|win_rate_all|win_rate_other|eligibility_status|eligibility_min_n|eligibility_rule|filter_stage|filter_rule_version|comparison_id|cmp_time_window|cmp_population|cmp_label|z_score_alias_status,III 先修粒度
71,R03b_player_dealer_daily.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,p.bet_date|uid|p.dealer_id|p.is_sentinel_dealer|stake_amount|profit_amount|net_pnl|win_rate|n_related_orders|n_rounds_eff|p_base_mix_w|p_base_mix_unw|z_score_w|z_score_unw|z_score|delta_p|eligibility_status|comparison_id|filter_stage|filter_rule_version|cmp_time_window|cmp_population|cmp_label|z_score_alias_status,III 先修粒度
72,R03chk_settlement_form.csv,投注面,OK,REFERENCE,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,bet_side|n_rounds|n_push|push_rate|p_base_dnb|p_base_incl,II 描述
73,R03inv_pair_census.csv,会员配对,INVALID,SCREENING,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,eligibility_status|n_bucket|n_pairs|n_members|n_dealers|n_rounds_total,II 描述
74,R_rebate_dist.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,rebate_rate|n_member|pct,III 先修粒度
75,S01_player_score.csv,会员,OK,PRIMARY,recent（s.x_rec = 1）,b.dt>=2026-07-08,131,8,b.member_id|流水贡献|游戏输赢贡献|活跃稳定|退水支出|n_ip|n_chain|lv1_id|lv2_id|lv3_id|lv4_id,I 可采
76,S02_dealer_score.csv,荷官,OK,SUPPORT,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,b.dealer_id|在桌洗码量|客群广度|n_rounds|n_tables|桌面输赢|当值时长|节奏稳定度|特定玩家复现率,I 可采
77,S02b_dealer_pace.csv,荷官,OK,SUPPORT,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,d.dealer_id|平均每局秒数|局速,I 可采
78,S03_agent_score.csv,代理线,INVALID,NOT_FOR_DECISION,,,0,-123,agent_level|agent_id|top_agent_id|parent_agent_id|is_test_line|n_bets_all|n_bets_prod|n_bets_testline|n_members_all,III 先修粒度
79,S04_analyst_score.csv,风控专员,NULL,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,entity_id|标注产量|覆盖IP广度|判定详尽度|理由空白数|首次登记|最近登记,III 先修粒度
80,S05_member_month_panel.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,131,8,b.member_id|bet_date|流水贡献|游戏输赢贡献|活跃稳定|退水支出|n_ip|n_chain|lv1_id|lv2_id,III 先修粒度
81,S_player_tail.csv,会员,OK,PRIMARY,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|n_rounds_all|n_rounds_tail|tail_share|tail_win|tail_lose|tail_winrate|norm_winrate|winrate_diff|tail_stake|tail_valid_bet|tail_game_pnl|tail_rebate|tail_net_pnl|tail_roi|norm_game_pnl|norm_roi|tail_profit_share,I 可采
82,S_second_dist.csv,桌台,OK,SUPPORT,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,table_id|n_orders|p50|p75|p90|p95|p99|max_progress,I 可采
83,T02_daily_roi.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,o.member_id|o.bet_date|stake|game_pnl|n_rounds,III 先修粒度
84,T03_arbitrage.csv,会员,OK,PRIMARY,hedge（h.n_side >= 2）,hedge（h.n_side >= 2）,123,0,member_id|stake|validbet|game_pnl|net_pnl|rebate|hedge_rate|stake_cv|n_rounds|n_days,I 可采
85,TL00_table_inventory.csv,桌台,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,c.TABLE_NAME|列数|时间列数|处置类列数|定日类列数,III 先修粒度
86,TL02_config_change.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,变更列|发生变更的会员数|在册会员数|变更率,III 先修粒度
87,TL03_pseudo_treatment.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|change_date|action_type|value_before|value_after|direction,III 先修粒度
88,TL03b_pseudo_treatment.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|cate|prev_date|change_date|action_type|value_before|value_after|direction,III 先修粒度
89,TL04_log_schema.csv,桌台,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,TABLE_NAME|ORDINAL_POSITION|COLUMN_NAME|DATA_TYPE|COLUMN_COMMENT,III 先修粒度
90,TL06_log_mem_change.csv,日期,OK,REFERENCE,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,dt|行数,II 描述
91,TL07_mem_change_shape.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,类别|条数|涉及会员数|操作者数|最早异动|最晚异动|内容平均长度|内容样例|SQL平均长度|SQL样例,III 先修粒度
