bet09,is_free_comm,stake_share,n_bets,observed_hold_pooled,rule_reference_edge,rule_reference_source,relative_deviation,consistency,house_edge,status,edge_version,effective_from,effective_to,note
Tie,1,0.001099,443037,0.15270849,0.1436,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,0.06343,OBSERVED_MATCH,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
Super6,1,0.000687,308830,0.20831359,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
Lucky7,1,0.000528,247736,0.1920613,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
BPair,1,0.000489,281503,0.10806291,0.103614,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,0.042937,OBSERVED_MATCH,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
PPair,1,0.000463,268985,0.15270027,0.103614,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,0.473742,OBSERVED_GAP,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
PerfectPair,0,0.000323,269227,0.0577106,0.1707,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,-0.661918,OBSERVED_GAP,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
BankerDragonBonus,0,0.000226,117648,0.10339625,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
SuperLucky7,1,0.000176,179561,0.12214969,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
PlayerDragonBonus,0,0.000176,84699,0.08613227,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
Big,0,0.000107,13648,0.10167105,0.0453,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,1.244394,OBSERVED_GAP,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
AnyPair,0,7.5e-05,95357,0.14055653,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
BankerDragonBonus,1,3.6e-05,10007,0.14407759,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
PlayerDragonBonus,1,2.6e-05,8012,0.05735827,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
BankerNatural,0,1.6e-05,7738,0.18959413,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
PerfectPair,1,1.4e-05,9061,-0.0024047,0.1707,公开百家乐规则（8 副牌）· 未获平台授权 · 仅作对照,-1.014087,OBSERVED_GAP,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
AnyPair,1,2e-06,3271,0.22655451,,无公开规则值可对照,,NO_RULE_REFERENCE,,CANDIDATE_UNAUTHORIZED,v0.1,,,本行 house_edge 栏刻意留空。observed hold 系结果非规则，不得径填。须由游戏规则文档／产品定义表／供应商契约三者之一背书后方可填入并转 AUTHORIZED。
