缺陷编号,件号,CSV名称,证据级,缺陷,实测证据,建议处置
G-04,054,PI02_treatment_delta_platform.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,086,TL02_config_change.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,087,TL03_pseudo_treatment.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,088,TL03b_pseudo_treatment.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,091,TL07_mem_change_shape.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,092,TL08_treatment_events.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,094,TL10_treatment_ledger.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,095,TL11_treatment_episode.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,096,TL11c_population_reconcile.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,097,TL14_limit_treatment.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,120,Z11_sentinel_impact.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,122,_P12b-pre.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _post；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,125,_PH0_3_lmc_category.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _pre_rg；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
G-04,127,_PH0_4b_rg_keyword.csv,OBSERVED（全包实证）,声明分区 ≠ 实际谓词,别名 _pre_rg；其谓词源为 x_rec，全包 128 件定义逐字同一：CASE WHEN b.dt >= '2026-07-08' THEN 1 ELSE 0 END，与 _recent 完全相同,二择一：真特化则改谓词并登记新分区定义；无实质差异则并名、废别名、下游同步改引用
