resultwalletid,betwalletid,出现次数
-1,"2705325026,",39
-1,"2704897639,",39
-1,"2705314546,",39
-1,"2704933027,",39
-1,"2705096384,",39
-1,"2704745320,",39
-1,"2705016540,",39
-1,"2704898779,",39
-1,"2705332561,",39
-1,"2704935524,",39
-1,"2705343796,",39
-1,"2704969077,",39
-1,"2704927477,",39
-1,"2705297107,",39
-1,"2704907662,",38
-1,"2704961171,",38
-1,"2705185953,",38
-1,"2705239173,",38
-1,"2704967745,",38
-1,"2704982579,",38
-1,"2705335935,",38
-1,"2704918245,",38
-1,"2704701176,",38
-1,"2704922975,",37
-1,"2704896537,",37
-1,"2705128532,",37
-1,"2704987061,",37
-1,"2705313913,",37
-1,"2704954882,",37
-1,"2705308504,",37
-1,"2705033718,",37
-1,"2704959937,",37
-1,"2704942478,",37
-1,"2704917165,",37
-1,"2704846207,",37
-1,"2705353213,",37
-1,"2704974199,",36
-1,"2705342795,",36
-1,"2705337299,",36
-1,"2705312001,",36
-1,"2705010272,",36
-1,"2705036707,",36
-1,"2705245162,",36
-1,"2705351297,",36
-1,"2705339169,",36
-1,"2705034774,",36
-1,"2705018984,",36
-1,"2705311215,",36
-1,"2705331356,",36
-1,"2705035769,",36
-1,"2705360204,",35
-1,"2705086214,",35
-1,"2704958543,",35
-1,"2705298670,",35
-1,"2705034696,",35
-1,"2704738902,",35
-1,"2705084194,",35
-1,"2704929756,",35
-1,"2705185399,",35
-1,"2704878561,",35
-1,"2704920400,",35
-1,"2704824209,",35
-1,"2705323234,",35
-1,"2704861562,",35
-1,"2704970568,",35
-1,"2704850475,",35
-1,"2705364408,",35
-1,"2705339993,",34
-1,"2705088751,",34
-1,"2704845315,",34
-1,"2705350386,",34
-1,"2704936625,",34
-1,"2705009099,",34
-1,"2704937630,",34
-1,"2704901855,",34
-1,"2705324323,",34
-1,"2705032650,",34
-1,"2704751689,",34
-1,"2704847076,",33
-1,"2704841955,",33
-1,"2704835037,",33
-1,"2704932045,",33
-1,"2704870068,",33
-1,"2704960955,",33
-1,"2704999940,",33
-1,"2704629723,",33
-1,"2704752337,",33
-1,"2704870794,",33
-1,"2705124167,",33
-1,"2705299733,",33
-1,"2704976675,",33
-1,"2704954881,",33
-1,"2704933052,",33
-1,"2704851382,",33
-1,"2704590377,",33
-1,"2705328960,",32
-1,"2705030522,",32
-1,"2705283909,",32
-1,"2704922818,",32
-1,"2705016472,",32
-1,"2705029459,",32
-1,"2705349631,",32
-1,"2705242926,",32
-1,"2704881398,",32
-1,"2704780633,",32
-1,"2704747549,",32
-1,"2704917196,",32
-1,"2705031568,",32
-1,"2704916041,",32
-1,"2704589491,",32
-1,"2705335221,",32
-1,"2704976659,",32
-1,"2704977907,",32
-1,"2705007958,",31
-1,"2705074614,",31
-1,"2704977792,",31
-1,"2704930926,",31
-1,"2704912888,",31
-1,"2704742361,",31
-1,"2704848717,",31
-1,"2705154679,",31
-1,"2704692435,",31
-1,"2705343059,",31
-1,"2705350488,",31
-1,"2704998601,",31
-1,"2704997270,",31
-1,"2704920372,",31
-1,"2704628635,",31
-1,"2704991860,",31
-1,"2704951768,",31
-1,"2705348326,",31
-1,"2704930817,",31
-1,"2705316550,",30
-1,"2705184423,",30
-1,"2705035862,",30
-1,"2704818240,",30
-1,"2705295084,",30
-1,"2704931927,",30
-1,"2705353424,",30
-1,"2704985023,",30
-1,"2704650427,",30
-1,"2705338261,",30
-1,"2704737722,",30
-1,"2705349642,",30
-1,"2705087790,",30
-1,"2704869168,",30
-1,"2704776135,",30
-1,"2704875589,",30
-1,"2704991890,",30
-1,"2704981277,",30
-1,"2704638659,",30
-1,"2704740112,",30
-1,"2704635860,",30
-1,"2704826860,",30
-1,"2705048784,",30
-1,"2704896517,",30
-1,"2704919278,",30
-1,"2705182111,",30
-1,"2705254904,",30
-1,"2705140636,",30
-1,"2704650270,",29
-1,"2704885232,",29
-1,"2704948658,",29
-1,"2704980327,",29
-1,"2705302290,",29
-1,"2704741343,",29
-1,"2704973117,",29
-1,"2705339280,",29
-1,"2704911770,",29
-1,"2705109667,",29
-1,"2704663661,",29
-1,"2704779584,",29
-1,"2704838342,",29
-1,"2705080612,",29
-1,"2704737779,",29
-1,"2704743498,",29
-1,"2705306588,",29
-1,"2705083227,",29
-1,"2704599705,",29
-1,"2704902909,",29
-1,"2705037045,",29
-1,"2705330775,",29
-1,"2705171587,",29
-1,"2704884360,",29
-1,"2704923907,",29
-1,"2704685057,",29
-1,"2704965178,",29
-1,"2704899834,",29
-1,"2704883443,",29
-1,"2704760091,",29
-1,"2704636801,",29
-1,"2704864340,",29
-1,"2704739085,",29
-1,"2705244334,",29
-1,"2704976647,",29
-1,"2704694767,",29
-1,"2704777335,",29
-1,"2704744247,",29
-1,"2704950049,",29
-1,"2705157498,",29
-1,"2705093283,",29
-1,"2704683894,",28
-1,"2705089731,",28
-1,"2705323312,",28
-1,"2704997119,",28
-1,"2704649503,",28
-1,"2705353165,",28
-1,"2704951687,",28
-1,"2704893465,",28
-1,"2704598785,",28
-1,"2704647859,",28
-1,"2704754231,",28
-1,"2705242073,",28
-1,"2704950168,",28
-1,"2704679016,",28
-1,"2704643122,",28
-1,"2704957293,",28
-1,"2705025574,",28
-1,"2705297304,",28
-1,"2705028303,",28
-1,"2704965135,",28
-1,"2705079754,",28
-1,"2705088860,",28
-1,"2705026779,",28
-1,"2704755286,",28
-1,"2704984622,",28
-1,"2705076619,",28
-1,"2704910755,",28
-1,"2704928645,",27
-1,"2704922948,",27
-1,"2705081358,",27
-1,"2704980040,",27
-1,"2704990537,",27
-1,"2705075750,",27
-1,"2704719020,",27
-1,"2705082430,",27
-1,"2705343930,",27
-1,"2704916054,",27
-1,"2705084041,",27
-1,"2704874686,",27
-1,"2704590295,",27
-1,"2704627628,",27
-1,"2705327209,",27
-1,"2704592335,",27
-1,"2704813485,",27
-1,"2705086890,",27
-1,"2704748056,",27
-1,"2704939596,2704939607,",27
-1,"2704634178,",27
-1,"2705079610,",27
-1,"2704959925,",27
-1,"2704753549,",27
-1,"2704950127,",27
-1,"2704591362,",27
-1,"2704957136,",27
-1,"2705078574,",27
-1,"2704852255,",26
-1,"2704812637,",26
-1,"2705022130,",26
-1,"2705085155,",26
-1,"2705088030,",26
-1,"2705035726,",26
-1,"2704654196,",26
-1,"2705075530,",26
-1,"2704678856,",26
-1,"2704778632,",26
-1,"2705072047,",26
-1,"2704818934,",26
-1,"2705034889,",26
-1,"2705036730,",26
-1,"2704654375,",26
-1,"2704905313,",26
-1,"2704957325,",26
-1,"2704588664,",26
-1,"2704942634,",26
-1,"2704756718,",26
-1,"2705040392,",26
-1,"2705279427,",26
-1,"2705083358,",26
-1,"2704800967,",26
-1,"2705023353,",26
-1,"2704800805,",26
-1,"2705077539,",26
-1,"2704977633,",26
-1,"2705158059,",26
-1,"2704941308,",26
-1,"2704912581,",26
-1,"2704855009,",26
-1,"2704814258,",26
-1,"2704825025,",26
-1,"2704985970,",26
-1,"2704895435,",26
-1,"2705024615,",26
-1,"2704641501,",26
-1,"2704951516,",26
-1,"2704800035,",25
-1,"2705361611,",25
-1,"2705306581,2705306798,2705306810,",25
-1,"2705011495,",25
-1,"2704802532,2704802620,",25
-1,"2705004241,",25
-1,"2705063427,",25
-1,"2704662456,",25
-1,"2705341105,",25
-1,"2704828682,",25
-1,"2705146748,",25
-1,"2704639529,",25
-1,"2705341757,",25
-1,"2704978899,",25
-1,"2704990509,",25
-1,"2704841292,",25
-1,"2705017675,",25
-1,"2705361627,",25
-1,"2704755671,",25
-1,"2704953243,",25
-1,"2705298073,",25
-1,"2705147221,",25
-1,"2705015237,",25
-1,"2704749432,",25
-1,"2705121489,",25
-1,"2704648737,",25
-1,"2704948624,",25
-1,"2704998708,",25
-1,"2705277992,",25
-1,"2704986803,",25
-1,"2705328167,",25
-1,"2705122478,",25
-1,"2704686338,",25
-1,"2704994140,",25
-1,"2704966490,",25
-1,"2704915094,",25
-1,"2704903066,",25
-1,"2704741437,",25
-1,"2704782597,",25
-1,"2704640559,",25
-1,"2705293623,",25
-1,"2704798403,",25
-1,"2705341088,",24
-1,"2705074424,",24
-1,"2705367288,",24
-1,"2705121625,",24
-1,"2704682872,",24
-1,"2704980248,",24
-1,"2704989365,",24
-1,"2704634065,",24
-1,"2704696600,",24
-1,"2704817268,",24
-1,"2704740289,",24
-1,"2704845331,",24
-1,"2704624499,",24
-1,"2705021125,",24
-1,"2704681639,",24
-1,"2705081641,",24
-1,"2705085967,",24
-1,"2704788194,",24
-1,"2705017797,",24
-1,"2704590437,",24
-1,"2705062184,",24
-1,"2704948630,",24
-1,"2704589525,",24
-1,"2704697369,",24
-1,"2704637709,",24
-1,"2705070940,",24
-1,"2704779501,",24
-1,"2704652746,",24
-1,"2704750192,",24
-1,"2704982494,",24
-1,"2704718100,",24
-1,"2704722693,",24
-1,"2705363389,",24
-1,"2704995824,",24
-1,"2704976567,",24
-1,"2704852309,",24
-1,"2704963785,",24
-1,"2704659719,",24
-1,"2704686077,",24
-1,"2704699414,",24
-1,"2705125192,",24
-1,"2704632393,",24
-1,"2704727341,",24
-1,"2704656993,",24
-1,"2704685113,",24
-1,"2704985940,",24
-1,"2704729451,",24
-1,"2705345042,",24
-1,"2705286564,",24
-1,"2705010194,",24
-1,"2705358014,",24
-1,"2704946356,",23
-1,"2705115817,",23
-1,"2704717234,",23
-1,"2705082519,",23
-1,"2704646796,",23
-1,"2704953239,",23
-1,"2704877574,",23
-1,"2704657883,",23
-1,"2705331650,",23
-1,"2704710082,",23
-1,"2705105199,",23
-1,"2704816497,",23
-1,"2705171070,",23
-1,"2704973902,",23
-1,"2705139974,",23
-1,"2705044754,",23
-1,"2704696659,",23
-1,"2705162599,",23
-1,"2704799075,",23
-1,"2704681888,",23
-1,"2704589467,",23
-1,"2705287371,",23
-1,"2704954791,",23
-1,"2704857821,",23
-1,"2705085340,",23
-1,"2704691696,",23
-1,"2704815650,",23
-1,"2704948004,",23
-1,"2705032846,",23
-1,"2704694771,",23
-1,"2704647827,",23
-1,"2705059985,",23
-1,"2705118363,",23
-1,"2704736075,",23
-1,"2705016464,",23
-1,"2705060985,",23
-1,"2704906302,",22
-1,"2704979030,",22
-1,"2704698517,",22
-1,"2705015191,",22
-1,"2704596851,",22
-1,"2704807964,",22
-1,"2705043595,",22
-1,"2704592121,",22
-1,"2704805447,",22
-1,"2704725532,",22
-1,"2705101631,",22
-1,"2704652015,",22
-1,"2704873748,",22
-1,"2705295864,",22
-1,"2704841240,",22
-1,"2704963822,",22
-1,"2705187679,",22
-1,"2704677031,",22
-1,"2705349466,",22
-1,"2705009109,",22
-1,"2704676037,",22
-1,"2704686215,",22
-1,"2704685206,",22
-1,"2705241422,",22
-1,"2704973023,",22
-1,"2705291977,",22
-1,"2704827789,",22
-1,"2704803679,",22
-1,"2704734259,",22
-1,"2705042376,",22
-1,"2704682981,",22
-1,"2704826639,",22
-1,"2705184121,",22
-1,"2704968888,",22
-1,"2705057568,",22
-1,"2705088862,",22
-1,"2705023577,",22
-1,"2704588661,",22
-1,"2705136525,",22
-1,"2704938422,",22
-1,"2704720919,",22
-1,"2705253443,",22
-1,"2705117419,",22
-1,"2704623507,",22
-1,"2704970539,",22
-1,"2705300518,",22
-1,"2705359256,",22
-1,"2704957289,",22
-1,"2704648689,",22
-1,"2704825984,",22
-1,"2705285925,",22
-1,"2705041151,",22
-1,"2704922678,",22
-1,"2704971573,",22
-1,"2704807201,",22
-1,"2704791522,",22
-1,"2704667230,",21
-1,"2704937652,",21
-1,"2704741082,",21
-1,"2704981488,",21
-1,"2704804495,",21
-1,"2704858823,",21
-1,"2705185089,",21
-1,"2705126084,",21
-1,"2704852177,",21
-1,"2704894451,",21
-1,"2704937546,",21
-1,"2705047683,",21
-1,"2705075612,",21
-1,"2704740346,",21
-1,"2704698512,",21
-1,"2704991950,",21
-1,"2704652102,",21
-1,"2704958409,",21
-1,"2704857775,",21
-1,"2704941333,",21
-1,"2704734169,",21
-1,"2704951616,",21
-1,"2704687533,",21
-1,"2704977863,",21
-1,"2704824039,",21
-1,"2705046872,",21
-1,"2705305869,",21
-1,"2705239941,",21
-1,"2704645922,",21
-1,"2704700231,",21
-1,"2705077793,",21
-1,"2704787360,",21
-1,"2704823304,",21
-1,"2704679913,",21
-1,"2704745677,",21
-1,"2704801757,",21
-1,"2704675185,",21
-1,"2704953379,",21
-1,"2704651219,",21
-1,"2705296529,",21
-1,"2704742463,",21
-1,"2704696574,",21
-1,"2704870032,",21
-1,"2704903089,",21
-1,"2704661678,",21
-1,"2704849581,",21
-1,"2704650375,",21
-1,"2704679969,",21
-1,"2705336205,",21
-1,"2704938535,",21
-1,"2704746612,",21
-1,"2704670571,",21
-1,"2704948606,",21
-1,"2705015160,",21
-1,"2705310069,",21
-1,"2704877551,",21
-1,"2704799212,",21
-1,"2704971817,",21
-1,"2704693531,",21
-1,"2704981468,",21
-1,"2704806378,",21
-1,"2704690792,",21
-1,"2704684167,",20
-1,"2705105157,",20
-1,"2704870635,2704870666,",20
-1,"2704633101,",20
-1,"2705187099,",20
-1,"2704710777,",20
-1,"2704865125,2704865167,2704865228,",20
-1,"2704820446,",20
-1,"2704673322,",20
-1,"2704727330,",20
-1,"2704671469,",20
-1,"2705040137,",20
-1,"2704863344,",20
-1,"2705266947,",20
-1,"2704888694,",20
-1,"2705039266,",20
-1,"2704595244,",20
-1,"2704865992,2704866049,",20
-1,"2705316665,",20
-1,"2704629703,",20
-1,"2704778655,",20
-1,"2704999793,",20
-1,"2704817297,",20
-1,"2704725391,",20
-1,"2704711797,",20
-1,"2705300437,",20
-1,"2704634005,",20
-1,"2704713560,2704713613,",20
-1,"2704853897,",20
-1,"2705126071,",20
-1,"2704636805,",20
-1,"2705308272,",20
-1,"2704789071,",20
-1,"2705261648,",20
-1,"2704641453,",20
-1,"2705202937,",20
-1,"2704674266,",20
-1,"2704891372,",20
-1,"2705349365,",20
-1,"2705291791,",20
-1,"2704660599,",20
-1,"2704850413,2704850440,",20
-1,"2705289269,",20
-1,"2704616911,",20
-1,"2704844396,",20
-1,"2705302066,2705302107,",20
-1,"2705294248,",20
-1,"2704851163,2704851262,",20
-1,"2704818133,",20
-1,"2704821590,",20
-1,"2704825865,",20
-1,"2704838345,",20
-1,"2704867888,",20
-1,"2704732210,",20
-1,"2705016322,",20
-1,"2704641450,",20
-1,"2705274324,2705274353,2705274393,",20
-1,"2704861563,",20
-1,"2704737719,",20
-1,"2705295053,",20
-1,"2704644039,",20
-1,"2705263215,",20
-1,"2705280203,",20
-1,"2704984604,",20
-1,"2705111528,",20
-1,"2705034712,",20
-1,"2704716205,",20
-1,"2705006587,",20
-1,"2704939879,",20
-1,"2705328832,",20
-1,"2704876364,",20
-1,"2704814147,",20
-1,"2704931654,",20
-1,"2705242848,",20
-1,"2705323082,",20
-1,"2705263991,",20
-1,"2704959732,",20
-1,"2704730119,",20
-1,"2705277898,",20
-1,"2704693665,",20
-1,"2704869993,",20
-1,"2705022354,",20
-1,"2704589529,",20
-1,"2704631254,",20
-1,"2704921726,",20
-1,"2704635022,",20
-1,"2704786401,",20
-1,"2704707737,",20
-1,"2705281018,",20
-1,"2704712622,2704712660,",20
-1,"2704599470,",20
-1,"2705148053,",20
-1,"2705122452,",20
-1,"2704785447,",20
-1,"2705015149,",20
-1,"2705116707,",20
-1,"2705364650,",20
-1,"2705355425,",20
-1,"2704625268,",20
-1,"2705348544,",20
-1,"2704802661,",20
-1,"2704991598,",20
-1,"2704853966,",20
-1,"2705199751,",20
-1,"2704818042,",20
-1,"2705350435,2705350492,",20
-1,"2704590161,",20
-1,"2704849393,2704849404,",20
-1,"2705343826,",20
-1,"2704983813,",20
-1,"2704964820,",20
-1,"2704848513,",20
-1,"2704825973,",20
-1,"2704688618,",20
-1,"2704814899,",20
-1,"2705360468,",20
-1,"2704841165,2704841296,",20
-1,"2704626582,",20
-1,"2704665463,",20
-1,"2704997127,",20
-1,"2704891262,",20
-1,"2704866920,2704867019,",20
-1,"2704648703,",20
-1,"2704847677,",20
-1,"2705334299,",20
-1,"2705295813,",20
-1,"2704869063,",20
-1,"2704661627,",20
-1,"2704800144,",20
-1,"2705336997,",20
-1,"2704864193,",20
-1,"2704744585,",20
-1,"2704596158,",20
-1,"2705272922,",20
-1,"2705299537,",20
-1,"2705001152,",20
-1,"2705305729,",20
-1,"2704721754,",20
-1,"2704997302,",20
-1,"2705332421,2705332492,",19
-1,"2705171751,",19
-1,"2704856800,",19
-1,"2704722618,",19
-1,"2704651085,",19
-1,"2704730252,",19
-1,"2704664481,",19
-1,"2705359040,",19
-1,"2704680775,",19
-1,"2704723586,",19
-1,"2704714394,2704714450,2704714474,2704714550,",19
-1,"2704739161,",19
-1,"2704732286,",19
-1,"2705303005,2705303149,2705303183,",19
-1,"2704591294,",19
-1,"2705270344,",19
-1,"2705270372,",19
-1,"2704854715,",19
-1,"2705024458,",19
-1,"2705283701,",19
-1,"2704728263,",19
-1,"2704953303,",19
-1,"2705298007,",19
-1,"2704946478,",19
-1,"2704975558,",19
-1,"2704647812,",19
-1,"2705203465,",19
-1,"2704718049,",19
-1,"2705328049,",19
-1,"2704942562,",19
-1,"2705293541,",19
-1,"2704708906,",19
-1,"2704728530,",19
-1,"2704884200,",19
-1,"2704883313,",19
-1,"2704999998,2705000049,",19
-1,"2704819782,",19
-1,"2705298166,",19
-1,"2705288566,",19
-1,"2704689584,",19
-1,"2705069524,",19
-1,"2704865107,",19
-1,"2705272298,",19
-1,"2705341005,2705341107,",19
-1,"2705310101,2705310115,",19
-1,"2704859828,",19
-1,"2705300512,",19
-1,"2704885249,",19
-1,"2705358091,",19
-1,"2704588663,",19
-1,"2705335961,",19
-1,"2704851934,2704852000,",19
-1,"2704790792,",19
-1,"2704653620,",19
-1,"2705031809,",19
-1,"2705293429,",19
-1,"2704995764,",19
-1,"2704816451,",19
-1,"2705356667,",19
-1,"2705266225,",19
-1,"2704846034,2704846061,",19
-1,"2705138794,",19
-1,"2705297307,2705297316,",19
-1,"2705126915,",19
-1,"2704691719,",19
-1,"2705309374,",19
-1,"2704728359,",19
-1,"2705268452,2705268469,",19
-1,"2704889344,",19
-1,"2704720843,2704720938,",19
-1,"2705073441,",19
-1,"2705285146,",19
-1,"2705271027,",19
-1,"2705283156,",19
-1,"2704670566,",19
-1,"2704963397,",19
-1,"2704862488,2704862516,",19
-1,"2705126895,",19
-1,"2705319480,",19
-1,"2704853033,",19
-1,"2704731299,2704731324,",19
-1,"2705120800,",19
-1,"2704912860,",19
-1,"2705322211,",19
-1,"2705346066,2705346092,",19
-1,"2704987949,",19
-1,"2705265574,",19
-1,"2704662604,",19
-1,"2705312028,",19
-1,"2705341809,",19
-1,"2705318481,",19
-1,"2705144442,",19
-1,"2704794004,",19
-1,"2705359086,",19
-1,"2704637787,",19
-1,"2704715429,",19
-1,"2705307491,",19
-1,"2705020045,",19
-1,"2704707827,",19
-1,"2705243627,",19
-1,"2705278637,",19
-1,"2705132907,",19
-1,"2705262532,2705262559,",19
-1,"2704858762,",19
-1,"2704726574,",19
-1,"2704972663,",19
-1,"2704685000,",19
-1,"2704948664,",19
-1,"2704717157,",19
-1,"2704967763,",19
-1,"2705313726,",19
-1,"2705281736,2705281761,",19
-1,"2705346229,",19
-1,"2705317615,",19
-1,"2705292828,",19
-1,"2704943636,",19
-1,"2704997168,",19
-1,"2704819644,2704819749,",19
-1,"2704630411,",19
-1,"2705081380,",19
-1,"2704669690,",19
-1,"2705275660,",19
-1,"2704843661,",19
-1,"2704854770,",19
-1,"2704886319,",19
-1,"2704858814,",19
-1,"2704973134,",19
-1,"2705013825,",19
-1,"2704632501,",19
-1,"2704846903,",19
-1,"2705111381,",19
-1,"2704735738,",19
-1,"2704709875,",19
-1,"2705301314,",19
-1,"2705298728,",19
-1,"2704598770,",19
-1,"2705327004,",19
-1,"2705279421,",19
-1,"2705049921,",19
-1,"2704684233,",19
-1,"2705296430,2705296453,",19
-1,"2705345144,",19
-1,"2705017492,2705017579,",19
-1,"2705351338,2705351433,",19
-1,"2705068461,",19
-1,"2704677880,",19
-1,"2704733147,",19
-1,"2704886352,",19
-1,"2704934310,",19
-1,"2705284602,",19
-1,"2704794864,",19
-1,"2704973912,",18
-1,"2704798384,",18
-1,"2704679823,",18
-1,"2704947955,",18
-1,"2705094306,",18
-1,"2704986012,",18
-1,"2705010276,",18
-1,"2704841838,",18
-1,"2704950067,",18
-1,"2704634873,",18
-1,"2704724558,",18
-1,"2704958414,",18
-1,"2704955952,",18
-1,"2704893400,",18
-1,"2705301354,",18
-1,"2705295683,",18
-1,"2705133652,",18
-1,"2705141246,",18
-1,"2704687425,",18
-1,"2704891461,",18
-1,"2704896794,",18
-1,"2704602462,",18
-1,"2705027330,",18
-1,"2704989375,",18
-1,"2704841045,",18
-1,"2704726479,",18
-1,"2704991833,",18
-1,"2705098096,",18
-1,"2704674142,",18
-1,"2705075679,2705075753,",18
-1,"2705083353,",18
-1,"2704938694,",18
-1,"2704655243,",18
-1,"2705073516,",18
-1,"2704680821,",18
-1,"2704847025,",18
-1,"2705076643,",18
-1,"2705340210,",18
-1,"2704803498,",18
-1,"2704646835,",18
-1,"2705119244,",18
-1,"2705024742,",18
-1,"2704753567,",18
-1,"2704601531,",18
-1,"2704675915,",18
-1,"2705041493,",18
-1,"2704678809,",18
-1,"2704680798,",18
-1,"2705359380,",18
-1,"2704869856,",18
-1,"2704653427,",18
-1,"2704894161,",18
-1,"2705136318,",18
-1,"2704656939,",18
-1,"2705012603,",18
-1,"2705261736,",18
-1,"2704636756,",18
-1,"2704891182,",18
-1,"2704607340,",18
-1,"2704973114,",18
-1,"2705174221,",18
-1,"2705009095,",18
-1,"2704743562,",18
-1,"2704677780,",18
-1,"2704991887,",18
-1,"2704844300,",18
-1,"2705074417,",18
-1,"2705264859,",18
-1,"2704859771,",18
-1,"2704673231,",18
-1,"2704961144,",18
-1,"2705077882,",18
-1,"2704930495,",18
-1,"2704941968,",18
-1,"2705271150,",18
-1,"2705273090,",18
-1,"2704685026,",18
-1,"2704955924,",18
-1,"2705269674,",18
-1,"2705269035,",18
-1,"2704734870,2704735079,",18
-1,"2705208934,",18
-1,"2704947155,",18
-1,"2705257645,",18
-1,"2704793747,",18
-1,"2705117573,",18
-1,"2704685254,",18
-1,"2704655069,",18
-1,"2704660740,",18
-1,"2704948186,2704948239,",18
-1,"2704999981,",18
-1,"2704684061,",18
-1,"2704984947,",18
-1,"2704651974,",18
-1,"2705340266,",18
-1,"2704873702,",18
-1,"2704817685,",18
-1,"2704727390,",18
-1,"2704640300,",17
-1,"2705252723,",17
-1,"2704843463,",17
-1,"2704700347,",17
-1,"2705299553,",17
-1,"2705360369,",17
-1,"2704868981,",17
-1,"2704690665,",17
-1,"2705282416,",17
-1,"2705245917,",17
-1,"2704682822,",17
-1,"2704971749,",17
-1,"2704733118,",17
-1,"2704618761,",17
-1,"2704994445,",17
-1,"2704872602,",17
-1,"2705010129,",17
-1,"2704906392,",17
-1,"2704963839,",17
-1,"2704649532,",17
-1,"2705298905,",17
-1,"2704672387,",17
-1,"2704940964,",17
-1,"2705258861,",17
-1,"2704642998,",17
-1,"2704706980,",17
-1,"2704828656,",17
-1,"2704987746,",17
-1,"2704730321,",17
-1,"2705327071,",17
-1,"2705329036,",17
-1,"2704618737,",17
-1,"2704692671,",17
-1,"2704998757,",17
-1,"2704840388,",17
-1,"2705234262,",17
-1,"2704741396,",17
-1,"2704678005,",17
-1,"2705034652,",17
-1,"2704866861,",17
-1,"2705230971,",17
-1,"2705123532,",17
-1,"2705198087,",17
-1,"2704712827,",17
-1,"2705262589,",17
-1,"2704659441,",17
-1,"2704845144,",17
-1,"2705324001,",17
-1,"2705320145,",17
-1,"2705250599,",17
-1,"2704879496,",17
-1,"2704976430,",17
-1,"2705233244,",17
-1,"2705261014,",17
-1,"2704945300,",17
-1,"2704619620,",17
-1,"2705229339,",17
-1,"2705014861,",17
-1,"2704894866,",17
-1,"2704635647,",17
-1,"2704857619,",17
-1,"2704681719,",17
-1,"2704777512,",17
-1,"2705008888,",17
-1,"2704799694,",17
-1,"2704965113,",17
-1,"2705234863,",17
-1,"2704874678,",17
-1,"2704977784,",17
-1,"2704792293,",17
-1,"2704733541,",17
-1,"2705115780,",17
-1,"2705333174,",17
-1,"2705247638,",17
-1,"2704979125,",17
-1,"2704686133,",17
-1,"2704860588,",17
-1,"2705246726,",17
-1,"2705118316,",17
-1,"2704941171,",17
-1,"2705253426,",17
-1,"2705351597,",17
-1,"2704889306,",17
-1,"2705228234,",17
-1,"2704638722,",17
-1,"2704730868,",17
-1,"2704793824,",17
-1,"2705058831,",17
-1,"2704711020,",17
-1,"2704944702,",17
-1,"2704719940,",17
-1,"2704981481,",17
-1,"2705097347,",17
-1,"2704670620,",17
-1,"2704671577,",17
-1,"2704664508,",17
-1,"2704994338,",17
-1,"2705343087,",17
-1,"2704793062,",17
-1,"2705231574,",17
-1,"2705236011,",17
-1,"2704648751,",17
-1,"2705236684,",17
-1,"2704936555,",17
