task_name,source_db,source_table,target_table,sync_mode,last_sync_time,last_sync_id,updated_at,last_key1,last_key2,last_key3,last_key4,last_key5
member_click_counter,a168,member_click_counter,ods_a168_member_click_counter,time_increment,2022-08-09 00:00:00,0f6c40c8962eab69f54acf1202ca18d5,2026-05-19 10:33:20,,,,,
news,a168,news,ods_a168_news,id_increment,1970-01-01 00:00:00,218,2026-05-19 10:53:17,,,,,
partner_transation_log,a168,partner_transation_log,ods_a168_partner_transation_log,id_increment,1970-01-01 00:00:00,3099601,2026-07-22 15:22:20,,,,,
realtimelobby,a168,realtimelobby,ods_a168_realtimelobby,id_increment,1970-01-01 00:00:00,153348072,2026-07-22 23:18:16,,,,,
subagent_permissionrole,a168,subagent_permissionrole,ods_a168_subagent_permissionrole,id_increment,1970-01-01 00:00:00,26,2026-05-19 23:14:37,,,,,
tablelimit,a168,tablelimit,ods_a168_tablelimit,id_increment,1970-01-01 00:00:00,160,2026-05-19 23:13:34,,,,,
tablelimit_third,a168,tablelimit_third,ods_a168_tablelimit_third,id_increment,1970-01-01 00:00:00,43,2026-05-19 23:14:11,,,,,
tip,a168,tip,ods_a168_tip,id_increment,1970-01-01 00:00:00,507,2026-05-19 23:15:04,,,,,
white_list,a168,white_list,ods_a168_white_list,id_increment,1970-01-01 00:00:00,5537,2026-07-21 23:15:04,,,,,
SMR_log,a168,SMR_log,ods_a168_SMR_log,id_increment,1970-01-01 00:00:00,1182280,2026-07-05 23:06:05,,,,,
age_login,a168,age_login,ods_a168_age_login,id_increment,1970-01-01 00:00:00,56967,2026-07-22 23:09:14,,,,,
age_sub_login,a168,age_sub_login,ods_a168_age_sub_login,id_increment,1970-01-01 00:00:00,12957,2026-07-21 23:14:27,,,,,
agent_sub,a168,agent_sub,ods_a168_agent_sub,id_increment,1970-01-01 00:00:00,12957,2026-07-21 23:10:34,,,,,
aggregate_transaction,a168,aggregate_transaction,ods_a168_aggregate_transaction,id_increment,1970-01-01 00:00:00,17,2026-06-23 23:25:03,,,,,
bet02,a168,bet02,ods_a168_bet02,id_increment,1970-01-01 00:00:00,5513540981,2026-07-23 05:56:29,,,,,
bet_partner,a168,bet_partner,ods_a168_bet_partner,id_increment,1970-01-01 00:00:00,5512780932,2026-07-22 15:26:29,,,,,
dailyreport_table,a168,dailyreport_table,ods_a168_dailyreport_table,id_increment,1970-01-01 00:00:00,20319594,2026-07-22 23:00:37,,,,,
dailyreport_usercount,a168,dailyreport_usercount,ods_a168_dailyreport_usercount,id_increment,1970-01-01 00:00:00,518223818,2026-07-23 05:59:49,,,,,
in_out_m_chip,a168,in_out_m_chip,ods_a168_in_out_m_chip,id_increment,1970-01-01 00:00:00,233965,2026-05-19 10:22:07,,,,,
ipblacklist,a168,ipblacklist,ods_a168_ipblacklist,id_increment,1970-01-01 00:00:00,606,2026-05-19 23:13:11,,,,,
member_partner_account,a168,member_partner_account,ods_a168_member_partner_account,time_increment,,784e42f32c649e28b43189b90e3890e8,2026-07-22 22:01:48,,,,,
opengame_log,a168,opengame_log,ods_a168_opengame_log,id_increment,1970-01-01 00:00:00,10159,2026-05-19 10:58:00,,,,,
orderslist,a168,orderslist,ods_a168_orderslist,time_increment,,250e453fc29de641176f508edacd3933,2026-07-22 22:03:05,,,,,
wallet_dtl,a168,wallet_dtl,ods_a168_wallet_dtl,id_increment,1970-01-01 00:00:00,2703893649,2026-07-23 05:58:46,,,,,
wallet_reporter,a168,wallet_reporter,ods_a168_wallet_reporter,id_increment,1970-01-01 00:00:00,3526949,2026-07-23 06:01:08,,,,,
wallet_reporter_copy,a168,wallet_reporter_copy,ods_a168_wallet_reporter_copy,id_increment,1970-01-01 00:00:00,384439,2026-05-19 10:25:46,,,,,
RedPacketSetup,a168,RedPacketSetup,ods_a168_RedPacketSetup,id_increment,1970-01-01 00:00:00,1,2026-05-19 11:04:42,,,,,
agent_test,a168,agent_test,ods_a168_agent_test,id_increment,1970-01-01 00:00:00,22,2026-05-19 23:14:44,,,,,
agents_LoginPass,a168,agents_LoginPass,ods_a168_agents_LoginPass,id_increment,1970-01-01 00:00:00,17068,2026-07-22 23:09:58,,,,,
alertMessage,a168,alertMessage,ods_a168_alertMessage,id_increment,1970-01-01 00:00:00,174,2026-06-13 23:13:43,,,,,
bet_No,a168,bet_No,ods_a168_bet_No,id_range_increment,1970-01-01 00:00:00,483350000,2026-05-20 05:40:29,,,,,
control,a168,control,ods_a168_control,id_increment,1970-01-01 00:00:00,323,2026-06-05 23:10:06,,,,,
currency,a168,currency,ods_a168_currency,id_increment,1970-01-01 00:00:00,47,2026-05-19 23:14:17,,,,,
emp_login,a168,emp_login,ods_a168_emp_login,time_increment,2020-07-07 11:09:44,8f14e45fceea167a5a36dedd4bea2543,2026-05-19 10:41:02,,,,,
game_callwebapi,a168,game_callwebapi,ods_a168_game_callwebapi,id_increment,1970-01-01 00:00:00,186395918,2026-07-22 23:17:26,,,,,
game_info,a168,game_info,ods_a168_game_info,composite_increment,1970-01-01 00:00:00,114719173|5,2026-07-23 06:00:25,,,,,
game_info_verify,a168,game_info_verify,ods_a168_game_info_verify,id_increment,1970-01-01 00:00:00,136,2026-06-23 23:20:00,,,,,
game_statistics,a168,game_statistics,ods_a168_game_statistics,id_increment,1970-01-01 00:00:00,1450592,2026-07-23 06:02:43,,,,,
in_out_m,a168,in_out_m,ods_a168_in_out_m,id_increment,1970-01-01 00:00:00,4273463155,2026-07-23 05:57:26,,,,,
log_realtimebet,a168,log_realtimebet,ods_a168_log_realtimebet,time_increment,,bbdce5764ebdd30b4bae20c6752b959e,2026-07-22 22:00:51,,,,,
payment_platform,a168,payment_platform,ods_a168_payment_platform,id_increment,1970-01-01 00:00:00,3,2026-05-19 10:57:08,,,,,
permissions,a168,permissions,ods_a168_permissions,id_increment,1970-01-01 00:00:00,138,2026-05-19 23:13:57,,,,,
permissionsgroup,a168,permissionsgroup,ods_a168_permissionsgroup,id_increment,1970-01-01 00:00:00,10,2026-05-19 23:15:17,,,,,
realtimebet,a168,realtimebet,ods_a168_realtimebet,id_increment,1970-01-01 00:00:00,153348070,2026-07-22 23:18:53,,,,,
roles,a168,roles,ods_a168_roles,id_increment,1970-01-01 00:00:00,48,2026-05-19 10:52:50,,,,,
