__source_pk,dt,agent_id,code,gamelist_id,status,orders,source_db,source_table,ods_table_name,sync_time
5b78959cce00f7b5be1a4a0a6685f269,2026-07-23,55656,5031,496,0,9,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
67e8db6cdd574597d3777bc65d7d6d1f,2026-07-23,47757,5031,493,1,6,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
cb0f9abf7ffbf0b075acc1532d8f4e2f,2026-07-23,47562,5031,495,0,8,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
e759a1d2e13588e3513425703eeb0db4,2026-07-23,47562,5031,496,0,9,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
ef90fd5cf6dedb52341e48ab5366223d,2026-07-23,55656,5031,497,0,10,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
63c77b30f42f4a80be5ea515dcf32d1d,2026-07-23,47562,5031,489,0,3,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
ca6e478f462754528ca55715c5bc7569,2026-07-23,55656,5031,491,0,12,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
cfbdc0ea2fb6c6bf3f97f81d790f10e7,2026-07-23,47562,5031,490,0,11,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
e6c2968389487fc1e463bdcf386431b7,2026-07-23,47757,5031,491,1,12,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
feeca44060ff272f1c98c0bd434b29f2,2026-07-23,47757,5031,500,1,5,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
0950957c4d98db7d1f983c091709e0c8,2026-07-23,55656,5031,495,0,8,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
4b9141c6ce55f98368c03c7ad0941d88,2026-07-23,55656,5031,488,0,2,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
4e1395766ee6ab532507685ab2ea2d46,2026-07-23,47757,5031,492,1,13,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
52bc1a4e2d9f9e116e011e4c1c41b551,2026-07-23,47562,5031,499,0,5,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
5b341bf16bd22c8b2f3341e2aa58f74d,2026-07-23,47562,5031,491,0,12,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
b0daee9f3d8705114ff83dc0b1502667,2026-07-23,47757,5031,494,1,7,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
b3ae31f39dce80e6406d81001dc05d3a,2026-07-23,47757,5031,498,1,4,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
0e28c05a299895b937372cfa8a7501d6,2026-07-23,47562,5031,497,0,10,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
22613f23c31e8fbbf19e7ab2ec472e3d,2026-07-23,55656,5031,501,0,5,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
bdfc0b407a977c23827c027d8eda9a75,2026-07-23,47757,5031,501,1,5,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
d68a124e90b48e44975f5dfac360f434,2026-07-23,47562,5031,487,0,1,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
d78eb6ba69b808680279d7a60fbf0561,2026-07-23,47562,5031,498,0,4,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
417c3b42fe1dc047e0ea48937b80f044,2026-07-23,55656,5031,490,0,11,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
4f59a3550aa32c3d8664dfc3f21e7f15,2026-07-23,47562,5031,493,0,6,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
733e8b432ade403adad4e17e9efaa6ed,2026-07-23,55656,5031,492,0,13,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
b11be6daee723877df67ef81fe884d37,2026-07-23,47757,5031,499,1,5,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
bb7cee4f3397fd8f2ce080229c6daae4,2026-07-23,55656,5031,494,0,7,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
da5e545c6c043dd2de48360b401bb5ee,2026-07-23,47757,5031,488,1,2,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
04b09b07ca5aa31be940781c09a8db7f,2026-07-23,47757,5031,489,1,3,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
6742914290c82c43f4ac9143ce194014,2026-07-23,55656,5031,500,0,5,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
bd57982d229ffbfb87903c041f73983c,2026-07-23,47562,5031,500,0,5,a168,agent_partner_gamelist,ods_a168_agent_partner_gamelist,2026-07-23 04:17:54
